Power (mW)	Time (sek)
0.436699	0.1050
0.436691	0.1352
0.436673	0.1747
0.436681	0.2054
0.436680	0.2377
0.436674	0.2756
0.436679	0.3267
0.436683	0.3741
0.436671	0.4250
0.436680	0.4745
0.436681	0.5053
0.436689	0.5360
0.436677	0.5744
0.436688	0.6240
0.436681	0.6741
0.436680	0.7266
0.436679	0.7744
0.436673	0.8053
0.436687	0.8363
0.436687	0.8743
0.436693	0.9241
0.436701	0.9741
0.436694	1.0253
0.436693	1.0761
0.436681	1.1072
0.436700	1.1380
0.436697	1.1763
0.436703	1.2242
0.436709	1.2742
0.436694	1.3256
0.436703	1.3745
0.436704	1.4060
0.436704	1.4368
0.436695	1.4746
0.436705	1.5258
0.436729	1.5743
0.436720	1.6250
0.436717	1.6746
0.436716	1.7061
0.436721	1.7366
0.436715	1.7752
0.436714	1.8242
0.436730	1.8741
0.436721	1.9273
0.436713	1.9743
0.436704	2.0055
0.436702	2.0361
0.436702	2.0759
0.436699	2.1255
0.436706	2.1740
0.436710	2.2248
0.436707	2.2744
0.436687	2.3054
0.436688	2.3364
0.436670	2.3742
0.436666	2.4241
0.436673	2.4741
0.436682	2.5249
0.436673	2.5743
0.436684	2.6059
0.436680	2.6367
0.436667	2.6747
0.436665	2.7266
0.436665	2.7741
0.436684	2.8250
0.436683	2.8743
0.436683	2.9050
0.436679	2.9361
0.436673	2.9745
0.436673	3.0241
0.436667	3.0757
0.436654	3.1278
0.436665	3.1745
0.436671	3.2053
0.436675	3.2360
0.436663	3.2741
0.436654	3.3240
0.436650	3.3740
0.436651	3.4250
0.436640	3.4742
0.436645	3.5051
0.436654	3.5361
0.436650	3.5743
0.436640	3.6241
0.436643	3.6742
0.436635	3.7252
0.436637	3.7745
0.436648	3.8061
0.436648	3.8370
0.436653	3.8743
0.436658	3.9259
0.436648	3.9748
0.436642	4.0252
0.436646	4.0764
0.436640	4.1079
0.436647	4.1390
0.436645	4.1764
0.436660	4.2247
0.436664	4.2742
0.436652	4.3279
0.436642	4.3750
0.436636	4.4062
0.436639	4.4374
0.436642	4.4749
0.436647	4.5244
0.436649	4.5749
0.436646	4.6254
0.436636	4.6749
0.436631	4.7063
0.436634	4.7374
0.436633	4.7753
0.436642	4.8246
0.436652	4.8748
0.436647	4.9254
0.436640	4.9745
0.436630	5.0057
0.436633	5.0366
0.436623	5.0765
0.436626	5.1288
0.436639	5.1745
0.436648	5.2251
0.436637	5.2745
0.436635	5.3054
0.436627	5.3363
0.436614	5.3745
0.436613	5.4245
0.436615	5.4743
0.436622	5.5269
0.436628	5.5745
0.436613	5.6065
0.436620	5.6373
0.436611	5.6747
0.436606	5.7243
0.436601	5.7744
0.436610	5.8251
0.436630	5.8743
0.436622	5.9048
0.436617	5.9357
0.436609	5.9742
0.436620	6.0243
0.436602	6.0759
0.436613	6.1251
0.436604	6.1752
0.436608	6.2062
0.436611	6.2373
0.436597	6.2747
0.436606	6.3258
0.436615	6.3744
0.436595	6.4249
0.436605	6.4744
0.436618	6.5052
0.436610	6.5359
0.436607	6.5745
0.436597	6.6246
0.436595	6.6743
0.436593	6.7275
0.436607	6.7745
0.436603	6.8058
0.436602	6.8366
0.436601	6.8745
0.436598	6.9242
0.436590	6.9744
0.436595	7.0251
0.436591	7.0761
0.436576	7.1069
0.436597	7.1389
0.436595	7.1930
0.436592	7.2425
0.436579	7.2925
0.436595	7.3432
0.436575	7.3929
0.436583	7.4259
0.436580	7.4744
0.436579	7.5263
0.436588	7.5749
0.436588	7.6247
0.436577	7.6739
0.436581	7.7038
0.436570	7.7338
0.436573	7.7741
0.436570	7.8241
0.436559	7.8740
0.436562	7.9266
0.436561	7.9743
0.436568	8.0048
0.436566	8.0357
0.436575	8.0759
0.436575	8.1257
0.436568	8.1743
0.436566	8.2250
0.436555	8.2743
0.436554	8.3051
0.436551	8.3358
0.436546	8.3743
0.436546	8.4240
0.436529	8.4740
0.436570	8.5247
0.436567	8.5743
0.436567	8.6049
0.436547	8.6351
0.436558	8.6745
0.436553	8.7252
0.436548	8.7737
0.436568	8.8246
0.436556	8.8741
0.436546	8.9043
0.436529	8.9346
0.436540	8.9742
0.436552	9.0240
0.436548	9.0757
0.436547	9.1273
0.436549	9.1739
0.436548	9.2042
0.436550	9.2372
0.436551	9.2787
0.436544	9.3252
0.436526	9.3746
0.436532	9.4244
0.436528	9.4738
0.436539	9.5038
0.436545	9.5381
0.436538	9.5743
0.436560	9.6239
0.436538	9.6735
0.436547	9.7245
0.436529	9.7738
0.436541	9.8040
0.436539	9.8341
0.436551	9.8736
0.436543	9.9258
0.436537	9.9737
0.436514	10.0247
0.436513	10.0771
0.436531	10.1071
0.436506	10.1383
0.436524	10.1783
0.436520	10.2252
0.436523	10.2737
0.436542	10.3269
0.436534	10.3739
0.436522	10.4037
0.436505	10.4344
0.436519	10.4737
0.436543	10.5236
0.436533	10.5737
0.436532	10.6245
0.436520	10.6737
0.436544	10.7039
0.436520	10.7340
0.436527	10.7738
0.436528	10.8236
0.436517	10.8736
0.436533	10.9245
0.436525	10.9740
0.436533	11.0046
0.436510	11.0349
0.436519	11.0756
0.436513	11.1284
0.436514	11.1747
0.436522	11.2246
0.436512	11.2739
0.436519	11.3045
0.436510	11.3349
0.436515	11.3739
0.436500	11.4236
0.436491	11.4735
0.436511	11.5270
0.436501	11.5739
0.436518	11.6057
0.436497	11.6363
0.436507	11.6736
0.436506	11.7234
0.436485	11.7736
0.436506	11.8244
0.436500	11.8737
0.436503	11.9037
0.436490	11.9340
0.436496	11.9738
0.436486	12.0239
0.436484	12.0752
0.436493	12.1244
0.436483	12.1757
0.436500	12.2064
0.436494	12.2363
0.436499	12.2737
0.436504	12.3259
0.436485	12.3736
0.436495	12.4244
0.436485	12.4736
0.436486	12.5040
0.436481	12.5337
0.436490	12.5737
0.436498	12.6236
0.436468	12.6738
0.436495	12.7263
0.436496	12.7740
0.436509	12.8060
0.436497	12.8366
0.436492	12.8739
0.436496	12.9237

Mean Power (dBm):	-3.5992
Mean Power (mW):	0.436600
