Power (mW)	Time (sek)
1.159018	0.1142
1.159086	0.1355
1.159089	0.1880
1.158974	0.2191
1.159115	0.2499
1.159003	0.2855
1.159092	0.3381
1.159067	0.3885
1.158977	0.4340
1.159028	0.4885
1.159041	0.5198
1.159003	0.5496
1.159028	0.5839
1.159009	0.6393
1.158984	0.6836
1.159012	0.7371
1.158964	0.7836
1.159096	0.8169
1.159074	0.8503
1.159041	0.8899
1.159070	0.9382
1.159067	0.9874
1.159073	1.0372
1.158903	1.0897
1.158967	1.1217
1.158897	1.1517
1.158916	1.2022
1.158961	1.2542
1.158929	1.3059
1.159044	1.3559
1.158996	1.4043
1.159006	1.4344
1.158932	1.4915
1.158954	1.5389
1.158916	1.5882
1.159003	1.6324
1.159038	1.6881
1.159054	1.7221
1.159131	1.7536
1.159054	1.8067
1.159044	1.8541
1.158993	1.9053
1.159099	1.9572
1.159090	2.0067
1.159115	2.0380
1.159189	2.0894
1.159141	2.1377
1.159157	2.1871
1.159166	2.2387
1.159089	2.2900
1.159073	2.3217
1.159015	2.3530
1.159067	2.4069
1.159057	2.4561
1.159121	2.5080
1.159025	2.5565
1.159105	2.6065
1.159060	2.6372
1.158964	2.6906
1.159054	2.7369
1.159141	2.7863
1.159047	2.8371
1.159083	2.8879
1.159125	2.9181
1.159089	2.9508
1.159128	2.9890
1.159195	3.0375
1.159044	3.0835
1.159131	3.1380
1.159051	3.1851
1.159125	3.2154
1.159160	3.2474
1.159150	3.2904
1.159057	3.3384
1.159009	3.3881
1.159182	3.4390
1.159070	3.4855
1.159195	3.5193
1.159044	3.5475
1.159173	3.5895
1.159105	3.6393
1.159154	3.6894
1.159124	3.7373
1.159070	3.7885
1.159163	3.8193
1.159186	3.8483
1.159086	3.8912
1.159121	3.9388
1.159083	3.9835
1.159096	4.0335
1.159035	4.0880
1.159179	4.1211
1.159102	4.1499
1.159157	4.1888
1.159131	4.2374
1.159157	4.2894
1.159128	4.3389
1.159166	4.3879
1.159173	4.4089
1.159131	4.4475
1.159092	4.4908
1.159552	4.5368
1.159610	4.5819
1.159584	4.6357
1.159513	4.6893
1.159661	4.7167
1.159683	4.7478
1.159612	4.7995
1.159565	4.8502
1.159632	4.9079
1.159668	4.9568
1.159680	5.0039
1.159597	5.0375
1.159552	5.0869
1.159571	5.1367
1.159549	5.1877
1.159552	5.2349
1.159304	5.2882
1.159221	5.3194
1.159234	5.3499
1.159173	5.3888
1.159240	5.4356
1.159131	5.4904
1.159263	5.5314
1.159182	5.5870
1.159195	5.6200
1.159144	5.6517
1.159121	5.6921
1.159189	5.7337
1.159183	5.7883
1.159157	5.8358
1.159121	5.8873
1.159234	5.9184
1.159227	5.9467
1.159227	5.9882
1.159121	6.0389
1.159157	6.0903
1.159157	6.1373
1.159140	6.1883
1.159192	6.2178
1.159256	6.2503
1.159269	6.2854
1.159150	6.3379
1.159208	6.3881
1.159154	6.4343
1.159144	6.4884
1.159211	6.5201
1.159179	6.5514
1.159111	6.6079
1.159240	6.6566
1.159192	6.7084
1.159198	6.7528
1.159153	6.8038
1.159067	6.8370
1.159057	6.8883
1.159141	6.9386
1.159147	6.9853
1.159189	7.0333
1.159115	7.0898
1.159038	7.1154
1.159028	7.1466
1.159048	7.2065
1.159144	7.2568
1.159093	7.3084
1.159076	7.3558
1.159083	7.4047
1.159054	7.4359
1.159099	7.4889
1.159192	7.5569
1.159138	7.6069
1.159153	7.6568
1.159166	7.7089
1.159154	7.7381
1.159131	7.7842
1.159202	7.8379
1.159115	7.8873
1.159138	7.9386
1.159153	7.9885
1.159137	8.0182
1.159186	8.0473
1.159166	8.0875
1.159144	8.1352
1.159173	8.1871
1.159233	8.2332
1.159202	8.2906
1.159253	8.3209
1.159285	8.3479
1.159282	8.4033
1.159250	8.4555
1.159282	8.5068
1.159276	8.5574
1.159250	8.5981
1.159288	8.6369
1.159215	8.6906
1.159311	8.7361
1.159346	8.7854
1.159330	8.8387
1.159327	8.8871
1.159414	8.9200
1.159314	8.9511
1.159269	8.9892
1.159307	9.0320
1.159227	9.0872
1.159356	9.1365
1.159356	9.1863
1.159272	9.2185
1.159317	9.2494
1.159362	9.2885
1.159279	9.3376
1.159340	9.3832
1.159259	9.4358
1.159304	9.4845
1.159314	9.5205
1.159317	9.5511
1.159253	9.5900
1.159269	9.6380
1.159234	9.6912
1.159375	9.7388
1.159253	9.7882
1.159301	9.8494
1.159301	9.9094
1.159330	9.9557
1.159227	10.0064
1.159359	10.0572
1.159166	10.1073
1.159227	10.1374
1.159250	10.1806
1.159282	10.2335
1.159314	10.2841
1.159247	10.3383
1.159279	10.3849
1.159269	10.4138
1.159259	10.4448
1.159356	10.4906
1.159250	10.5287
1.159340	10.5851
1.159192	10.6369
1.159253	10.6901
1.159279	10.7192
1.159327	10.7454
1.159256	10.7894
1.159282	10.8365
1.159308	10.8842
1.159269	10.9377
1.159317	10.9883
1.159362	11.0174
1.159295	11.0482
1.159282	11.0902
1.159346	11.1320
1.159273	11.1882
1.159311	11.2367
1.159288	11.2872
1.159244	11.3139
1.159356	11.3493
1.159307	11.4046
1.159337	11.4489
1.159333	11.5069
1.159378	11.5565
1.159288	11.6065
1.159356	11.6377
1.159292	11.6894
1.159359	11.7329
1.159253	11.7848
1.159327	11.8383
1.159324	11.8898
1.159324	11.9191
1.159337	11.9514
1.159346	11.9897
1.159311	12.0328
1.159327	12.0885
1.159247	12.1369
1.159279	12.1864
1.159337	12.2177
1.159564	12.2473
1.159385	12.2890
1.159272	12.3371
1.159366	12.3875
1.159282	12.4364
1.159295	12.4854
1.159314	12.5197
1.159356	12.5494
1.159301	12.5890
1.159237	12.6335
1.159263	12.6881
1.159311	12.7332
1.159295	12.7867
1.159276	12.8141
1.159234	12.8484
1.159279	12.8903
1.159311	12.9314
1.159250	12.9878
1.159179	13.0359
1.159208	13.0890
1.159244	13.1174
1.159244	13.1514
1.159240	13.1882
1.159320	13.2339
1.159288	13.2903
1.159228	13.3383
1.159211	13.3877

Mean Power (dBm):	0.6416
Mean Power (mW):	1.159205
