Power (mW)	Time (sek)
1.188475	0.1099
1.188552	0.1388
1.188459	0.1812
1.188484	0.2072
1.188510	0.2438
1.188507	0.2810
1.188591	0.3310
1.188478	0.3796
1.188552	0.4325
1.188507	0.4809
1.188414	0.5136
1.188462	0.5431
1.188401	0.5800
1.188491	0.6328
1.188472	0.6805
1.188680	0.7348
1.188613	0.7828
1.188555	0.8127
1.188497	0.8383
1.188466	0.8836
1.188587	0.9338
1.188465	0.9820
1.188533	1.0277
1.188514	1.0813
1.188549	1.1132
1.188481	1.1470
1.188488	1.2007
1.188437	1.2508
1.188552	1.3007
1.188430	1.3507
1.188420	1.3992
1.188526	1.4318
1.188468	1.4824
1.188449	1.5317
1.188459	1.5821
1.188305	1.6327
1.188427	1.6801
1.188391	1.7087
1.188427	1.7398
1.188501	1.7831
1.188472	1.8334
1.188366	1.8819
1.188315	1.9333
1.188459	1.9808
1.188475	2.0129
1.188394	2.0443
1.188469	2.0824
1.188398	2.1335
1.188417	2.1809
1.188426	2.2330
1.188703	2.2817
1.188645	2.3126
1.188520	2.3437
1.188481	2.3848
1.188549	2.4303
1.188391	2.4810
1.188619	2.5315
1.188568	2.5800
1.188620	2.6113
1.188491	2.6420
1.188513	2.6837
1.188545	2.7340
1.188520	2.7799
1.188671	2.8333
1.188587	2.8813
1.188475	2.9083
1.188420	2.9377
1.188578	2.9809
1.188626	3.0310
1.188632	3.0803
1.188510	3.1331
1.188484	3.1748
1.188561	3.2137
1.188507	3.2433
1.188533	3.2855
1.188652	3.3317
1.188430	3.3820
1.188375	3.4317
1.188430	3.4759
1.188487	3.5116
1.188529	3.5395
1.188571	3.5803
1.188504	3.6322
1.188353	3.6803
1.188391	3.7341
1.188295	3.7825
1.188456	3.8139
1.188491	3.8450
1.188456	3.8933
1.188536	3.9517
1.188542	4.0003
1.188427	4.0504
1.188436	4.0973
1.188484	4.1306
1.188388	4.1804
1.188459	4.2309
1.188436	4.2813
1.188520	4.3345
1.188517	4.3806
1.188507	4.4139
1.188481	4.4463
1.188475	4.5006
1.188542	4.5491
1.188520	4.5988
1.188504	4.6511
1.188478	4.7007
1.188452	4.7288
1.188561	4.7805
1.188664	4.8293
1.188629	4.8814
1.188616	4.9345
1.188549	4.9798
1.188606	5.0112
1.188581	5.0446
1.188545	5.0804
1.188619	5.1341
1.188590	5.1817
1.188571	5.2308
1.188574	5.2814
1.188578	5.3106
1.188632	5.3402
1.188610	5.3826
1.188507	5.4321
1.188481	5.4810
1.188529	5.5321
1.188597	5.5812
1.188648	5.6120
1.188452	5.6436
1.188546	5.6814
1.188401	5.7333
1.188481	5.7814
1.188462	5.8328
1.188475	5.8823
1.188530	5.9116
1.188571	5.9437
1.188510	5.9823
1.188497	6.0317
1.188584	6.0813
1.188658	6.1348
1.188407	6.1813
1.188433	6.2114
1.188452	6.2427
1.188456	6.2805
1.188478	6.3342
1.188584	6.3793
1.188546	6.4315
1.188494	6.4809
1.188491	6.5102
1.188742	6.5419
