Power (mW)	Time (sek)
1.224881	0.0719
1.224399	0.0876
1.224720	0.1004
1.224881	0.1156
1.225041	0.1297
1.224560	0.1428
1.225041	0.1570
1.224720	0.1732
1.224881	0.2058
1.225041	0.2216
1.224881	0.2593
1.224560	0.2757
1.224560	0.3081
1.225363	0.3214
1.225363	0.3582
1.225363	0.3713
1.225041	0.4081
1.224078	0.4202
1.224881	0.4358
1.224720	0.4526
1.224720	0.4649
1.224881	0.5035
1.225202	0.5195
1.224399	0.5582
1.224560	0.5717
1.224881	0.6070
1.224720	0.6193
1.225041	0.6576
1.225041	0.6721
1.225041	0.7088
1.224720	0.7202
1.224560	0.7347
1.224881	0.7522
1.224239	0.7661
1.225041	0.8059
1.224720	0.8181
1.224881	0.8613
1.225041	0.8758
1.224720	0.9067
1.225041	0.9218
1.225041	0.9584
1.224881	0.9745
1.225202	1.0036
1.224399	1.0196
1.225041	1.0366
1.224720	1.0502
1.225041	1.0669
1.224720	1.1084
1.224881	1.1230
1.224720	1.1510
1.224881	1.1727
1.225041	1.2064
1.226005	1.2186
1.225041	1.2601
1.225202	1.2745
1.225363	1.3059
1.224720	1.3189
1.225202	1.3338
1.224239	1.3487
1.225041	1.3608
1.224560	1.3775
1.224720	1.4028
1.225202	1.4203
1.224560	1.4587
1.225202	1.4714
1.225041	1.5070
1.225202	1.5194
1.224560	1.5570
1.224720	1.5690
1.225202	1.6081
1.224399	1.6221
1.224881	1.6347
1.225202	1.6495
1.224881	1.6612
1.224881	1.6750
1.225041	1.7088
1.225363	1.7215
1.224560	1.7585
1.225041	1.7700
1.224239	1.8082
1.225523	1.8212
1.224720	1.8600
1.225041	1.8705
1.225041	1.9083
1.224399	1.9222
1.225202	1.9351
1.225041	1.9501
1.224881	1.9656
1.224720	1.9767
1.225041	2.0053
1.225363	2.0228
1.224399	2.0602
1.224881	2.0734
1.224720	2.1058
1.224881	2.1199
1.224239	2.1575
1.224881	2.1717
1.224881	2.2083
1.225041	2.2206
1.225202	2.2363
1.224720	2.2504
1.225684	2.2632
1.225202	2.2764
1.225041	2.2999
1.225363	2.3210
1.224239	2.3585
1.225041	2.3710
1.224399	2.4067
1.224720	2.4228
1.224239	2.4600
1.224881	2.4763
1.224720	2.5034
1.224881	2.5219
1.225202	2.5335
1.224881	2.5487
1.224720	2.5628
1.224881	2.5734
1.224881	2.6085
1.225041	2.6193
1.225041	2.6608
1.225363	2.6719
1.224399	2.7087
1.224881	2.7207
1.224560	2.7543
1.225041	2.7718
1.224881	2.8066
1.225202	2.8217
1.225684	2.8372
1.224720	2.8492
1.224560	2.8622
1.224399	2.8782
1.225041	2.9088
1.223757	2.9228
1.224560	2.9585
1.224881	2.9732
1.224560	3.0064
1.224881	3.0218
1.224881	3.0590
1.224560	3.0753
1.224560	3.1070
1.224881	3.1219
1.224881	3.1364
1.225202	3.1522
1.224560	3.1663
1.224720	3.1794
1.224720	3.2088
1.224881	3.2227
1.224560	3.2595
1.224881	3.2738
1.224881	3.3052
1.224560	3.3213
1.224239	3.3551
1.225363	3.3724
1.225041	3.4068
1.225202	3.4208
1.225523	3.4359
1.225041	3.4490
1.224560	3.4658
1.225202	3.4778
1.225041	3.5080
1.224720	3.5224
1.225202	3.5580
1.224881	3.5733
1.224881	3.6067
1.224881	3.6215
1.225041	3.6572
1.225041	3.6738
1.224720	3.7069
1.224720	3.7193
1.225202	3.7337
1.225363	3.7516
1.224720	3.7650
1.225363	3.7816
1.225363	3.8086
1.225202	3.8222
1.225363	3.8609
1.224720	3.8742
1.224881	3.9086
1.225041	3.9234
1.225202	3.9559
1.225041	3.9716
1.224881	4.0090
1.224560	4.0233
1.224560	4.0364
1.225202	4.0491
1.224881	4.0661
1.225202	4.1025
1.224720	4.1207
1.225041	4.1545
1.225523	4.1732
1.225202	4.2022
1.225202	4.2229
1.224881	4.2532
1.224720	4.2759
1.225202	4.3082
1.225202	4.3211
1.224720	4.3342
1.225202	4.3501
1.224881	4.3659
1.225041	4.4036
1.224720	4.4187
1.224881	4.4595
1.224720	4.4708
1.224720	4.5045
1.224881	4.5185
1.224720	4.5535
1.225363	4.5708
1.224881	4.6064
1.225041	4.6197
1.225041	4.6346
1.224881	4.6481
1.225041	4.6639
1.224720	4.6768
1.225041	4.7078
1.225363	4.7203
1.224881	4.7569
1.225202	4.7711
1.224881	4.8077
