Power (mW)	Time (sek)
0.440773	0.1077
0.440771	0.1383
0.440786	0.1747
0.440784	0.2046
0.440788	0.2347
0.440802	0.2735
0.440783	0.3235
0.440764	0.3731
0.440789	0.4242
0.440802	0.4735
0.440784	0.5032
0.440775	0.5334
0.440778	0.5738
0.440781	0.6263
0.440774	0.6734
0.440800	0.7262
0.440773	0.7734
0.440831	0.8033
0.440832	0.8332
0.440846	0.8733
0.440820	0.9233
0.440826	0.9732
0.440825	1.0259
0.440816	1.0735
0.440824	1.1033
0.440807	1.1336
0.440836	1.1734
0.440842	1.2234
0.440839	1.2732
0.440836	1.3241
0.440834	1.3735
0.440837	1.4039
0.440825	1.4341
0.440829	1.4734
0.440813	1.5234
0.440824	1.5732
0.440837	1.6242
0.440834	1.6735
0.440828	1.7036
0.440835	1.7336
0.440823	1.7733
0.440833	1.8259
0.440790	1.8733
0.440789	1.9409
0.440839	1.9919
0.440798	2.0217
0.440776	2.0733
0.440775	2.1237
0.440779	2.1734
0.440776	2.2273
0.440763	2.2739
0.440777	2.3046
0.440773	2.3362
0.440773	2.3737
0.440774	2.4238
0.440775	2.4742
0.440770	2.5260
0.440767	2.5737
0.440782	2.6048
0.440761	2.6359
0.440780	2.6740
0.440774	2.7255
0.440759	2.7740
0.440769	2.8242
0.440763	2.8742
0.440772	2.9049
0.440770	2.9360
0.440784	2.9740
0.440770	3.0261
0.440775	3.0736
0.440791	3.1248
0.440760	3.1739
0.440770	3.2048
0.440765	3.2357
0.440781	3.2734
0.440781	3.3233
0.440784	3.3735
0.440764	3.4261
0.440767	3.4741
0.440756	3.5049
0.440758	3.5356
0.440774	3.5735
0.440767	3.6235
0.440767	3.6739
0.440752	3.7262
0.440769	3.7738
0.440752	3.8045
0.440746	3.8356
0.440766	3.8740
0.440766	3.9242
0.440755	3.9736
0.440757	4.0243
0.440768	4.0739
0.440750	4.1050
0.440743	4.1359
0.440768	4.1734
0.440755	4.2264
0.440752	4.2733
0.440773	4.3250
0.440762	4.3738
0.440775	4.4048
0.440766	4.4358
0.440773	4.4738
0.440767	4.5240
0.440765	4.5741
0.440768	4.6272
0.440758	4.6743
0.440758	4.7053
0.440748	4.7361
0.440770	4.7737
0.440771	4.8241
0.440755	4.8735
0.440757	4.9245
0.440757	4.9740
0.440757	5.0052
0.440747	5.0362
0.440754	5.0742
0.440757	5.1238
0.440760	5.1735
0.440765	5.2243
0.440758	5.2741
0.440758	5.3047
0.440780	5.3352
0.440773	5.3735
0.440763	5.4260
0.440772	5.4737
0.440754	5.5259
0.440756	5.5743
0.440764	5.6056
0.440740	5.6363
0.440764	5.6734
0.440766	5.7259
0.440755	5.7736
0.440776	5.8262
0.440765	5.8742
0.440763	5.9067
0.440758	5.9382
0.440772	5.9753
0.440757	6.0243
0.440762	6.0739
0.440765	6.1246
0.440765	6.1735
0.440751	6.2044
0.440760	6.2350
0.440754	6.2736
0.440748	6.3242
0.440751	6.3733
0.440761	6.4249
0.440747	6.4738
0.440757	6.5048
0.440762	6.5351
0.440791	6.5735
0.440772	6.6251
0.440760	6.6737
0.440758	6.7258
0.440751	6.7738
0.440758	6.8038
0.440755	6.8338
0.440755	6.8733
0.440754	6.9233
0.440780	6.9733
0.440758	7.0264
0.440732	7.0738
0.440761	7.1044
0.440757	7.1351
0.440770	7.1741
0.440754	7.2240
0.440753	7.2737
0.440754	7.3250
0.440752	7.3740
0.440756	7.4044
0.440766	7.4351
0.440759	7.4734
0.440762	7.5236
0.440751	7.5734
0.440740	7.6241
0.440751	7.6742
0.440751	7.7053
0.440737	7.7363
0.440744	7.7740
0.440754	7.8260
0.440756	7.8735
0.440749	7.9240
0.440744	7.9734
0.440736	8.0041
0.440752	8.0351
0.440749	8.0732
0.440744	8.1236
0.440753	8.1736
0.440753	8.2259
0.440757	8.2736
0.440754	8.3041
0.440754	8.3351
0.440757	8.3732
0.440753	8.4238
0.440741	8.4729
0.440750	8.5260
0.440757	8.5737
0.440761	8.6046
0.440737	8.6357
0.440745	8.6736
0.440751	8.7257
0.440735	8.7731
0.440741	8.8243
0.440728	8.8734
0.440733	8.9046
0.440735	8.9353
0.440744	8.9733
0.440741	9.0248
0.440739	9.0732
0.440743	9.1245
0.440745	9.1734
0.440747	9.2049
0.440731	9.2356
0.440732	9.2729
0.440742	9.3236
0.440742	9.3737
0.440742	9.4263
0.440732	9.4730
0.440777	9.5034
0.440752	9.5339
0.440748	9.5736
0.440744	9.6238
0.440725	9.6735
