Power (mW)	Time (sek)
0.440526	0.1085
0.440504	0.1390
0.440514	0.1699
0.440521	0.2136
0.440516	0.2639
0.440508	0.3154
0.440508	0.3464
0.440513	0.3961
0.440517	0.4459
0.440511	0.4953
0.440506	0.5450
0.440515	0.5956
0.440509	0.6263
0.440516	0.6561
0.440513	0.6955
0.440518	0.7475
0.440529	0.7951
0.440538	0.8453
0.440519	0.8951
0.440527	0.9259
0.440520	0.9562
0.440521	0.9956
0.440516	1.0462
0.440521	1.0978
0.440517	1.1476
0.440512	1.1952
0.440507	1.2253
0.440510	1.2561
0.440518	1.2971
0.440550	1.3458
0.440550	1.3954
0.440512	1.4457
0.440515	1.4951
0.440510	1.5255
0.440516	1.5565
0.440517	1.5954
0.440514	1.6461
0.440511	1.6950
0.440505	1.7452
0.440509	1.7951
0.440536	1.8260
0.440561	1.8560
0.440539	1.8952
0.440547	1.9480
0.440542	1.9953
0.440522	2.0453
0.440510	2.0955
0.440514	2.1262
0.440515	2.1568
0.440508	2.1960
0.440508	2.2469
0.440523	2.2966
0.440512	2.3470
0.440512	2.3955
0.440519	2.4259
0.440524	2.4563
0.440510	2.4952
0.440526	2.5460
0.440523	2.5954
0.440517	2.6450
0.440516	2.6949
0.440544	2.7256
0.440535	2.7556
0.440532	2.7954
0.440524	2.8457
0.440540	2.8953
0.440505	2.9454
0.440513	2.9950
0.440538	3.0255
0.440510	3.0556
0.440512	3.0955
0.440518	3.1482
0.440522	3.1952
0.440508	3.2457
0.440509	3.2971
0.440515	3.3275
0.440512	3.3581
0.440521	3.3956
0.440572	3.4621
0.440576	3.5137
0.440521	3.5657
0.440520	3.6140
0.440517	3.6449
0.440524	3.6954
0.440532	3.7457
0.440519	3.7953
0.440529	3.8452
0.440522	3.8955
0.440523	3.9258
0.440521	3.9564
0.440516	3.9961
0.440511	4.0461
0.440514	4.0967
0.440518	4.1453
0.440519	4.1950
0.440519	4.2250
0.440525	4.2557
0.440509	4.2975
0.440514	4.3485
0.440505	4.3957
0.440523	4.4449
0.440516	4.4950
0.440513	4.5259
0.440523	4.5559
0.440527	4.5959
0.440511	4.6458
0.440517	4.6954
0.440516	4.7466
0.440527	4.7954
0.440520	4.8260
0.440521	4.8561
0.440525	4.8959
0.440524	4.9455
0.440558	4.9950
0.440567	5.0450
0.440550	5.0948
0.440534	5.1259
0.440538	5.1564
0.440531	5.1954
0.440529	5.2457
0.440546	5.2965
0.440535	5.3447
0.440536	5.3949
0.440535	5.4254
0.440532	5.4554
0.440526	5.4956
0.440519	5.5475
0.440528	5.5949
0.440520	5.6452
0.440515	5.6953
0.440524	5.7261
0.440525	5.7566
0.440525	5.7954
0.440528	5.8460
0.440514	5.8951
0.440514	5.9477
0.440509	5.9949
0.440522	6.0257
0.440512	6.0565
0.440522	6.0956
0.440514	6.1462
0.440522	6.1954
0.440516	6.2453
0.440517	6.2965
0.440507	6.3264
0.440511	6.3567
0.440515	6.3954
0.440509	6.4456
0.440514	6.4952
0.440523	6.5452
0.440506	6.5956
0.440504	6.6261
0.440501	6.6566
0.440510	6.6954
0.440509	6.7480
0.440499	6.7953
0.440513	6.8448
0.440498	6.8955
0.440501	6.9260
0.440540	6.9561
0.440517	6.9954
0.440506	7.0463
0.440496	7.0968
0.440516	7.1470
0.440512	7.1955
0.440522	7.2260
0.440530	7.2563
0.440506	7.2976
0.440492	7.3464
0.440497	7.3951
0.440502	7.4450
0.440504	7.4953
0.440505	7.5258
0.440513	7.5562
0.440518	7.5951
0.440594	7.6455
0.440565	7.6947
0.440564	7.7446
0.440587	7.7948
0.440552	7.8245
0.440589	7.8545
0.440549	7.8950
0.440563	7.9473
0.440531	7.9950
0.440512	8.0455
0.440500	8.0955
0.440508	8.1263
0.440511	8.1563
0.440509	8.1958
0.440502	8.2463
0.440510	8.2974
0.440501	8.3472
0.440493	8.3949
0.440517	8.4257
0.440507	8.4561
0.440498	8.4959
0.440506	8.5458
0.440499	8.5952
0.440508	8.6452
0.440510	8.6951
0.440498	8.7263
0.440503	8.7566
0.440493	8.7958
0.440500	8.8464
0.440504	8.8947
0.440562	8.9447
0.440562	8.9947
0.440569	9.0248
0.440562	9.0545
0.440540	9.0954
0.440511	9.1479
0.440547	9.1953
0.440552	9.2447
0.440586	9.2972
0.440573	9.3271
0.440562	9.3568
0.440571	9.3961
0.440560	9.4456
0.440559	9.4947
0.440542	9.5464
0.440550	9.5950
0.440530	9.6251
0.440520	9.6558
0.440523	9.6951
0.440557	9.7457
0.440564	9.7947
0.440563	9.8446
0.440564	9.8945
0.440567	9.9253
0.440557	9.9550
0.440551	9.9950
0.440550	10.0456
0.440552	10.0964
0.440537	10.1451
0.440487	10.1951
0.440483	10.2257
0.440491	10.2559
0.440487	10.2970
0.440486	10.3472
0.440477	10.3955
0.440486	10.4450
0.440483	10.4950
0.440485	10.5262
0.440494	10.5565
0.440511	10.6061
0.440559	10.6485
0.440566	10.6946
0.440565	10.7503
0.440530	10.7974
0.440569	10.8339
0.440556	10.8645
0.440583	10.9176
0.440556	10.9670
0.440562	11.0171
0.440545	11.0639
0.440514	11.1133
0.440499	11.1434
0.440497	11.1953
0.440497	11.2456
0.440494	11.2964
0.440495	11.3446
0.440503	11.3948
0.440488	11.4252
0.440487	11.4557
0.440493	11.4953
0.440498	11.5481
0.440481	11.5952
0.440477	11.6450
0.440485	11.6947
0.440494	11.7249
0.440491	11.7556
0.440488	11.7951
0.440503	11.8455
0.440486	11.8946
0.440498	11.9463
0.440487	11.9950
0.440488	12.0258
0.440482	12.0566
0.440478	12.0950
0.440485	12.1457
0.440480	12.1952
0.440472	12.2448
0.440490	12.2963
0.440479	12.3266
0.440471	12.3573
0.440472	12.3954
0.440476	12.4456
0.440480	12.4946
0.440468	12.5446
