Power (mW)	Time (sek)
0.447349	0.1071
0.447313	0.1376
0.447309	0.1748
0.447293	0.2055
0.447310	0.2369
0.447283	0.2739
0.447281	0.3261
0.447269	0.3739
0.447275	0.4247
0.447297	0.4755
0.447306	0.5059
0.447340	0.5358
0.447325	0.5747
0.447306	0.6238
0.447310	0.6739
0.447314	0.7266
0.447300	0.7739
0.447298	0.8043
0.447288	0.8348
0.447282	0.8738
0.447290	0.9236
0.447312	0.9737
0.447305	1.0245
0.447302	1.0737
0.447327	1.1044
0.447346	1.1345
0.447330	1.1738
0.447304	1.2237
0.447279	1.2737
0.447275	1.3246
0.447294	1.3740
0.447277	1.4047
0.447293	1.4350
0.447305	1.4758
0.447291	1.5254
0.447293	1.5739
0.447285	1.6245
0.447286	1.6739
0.447297	1.7047
0.447290	1.7352
0.447282	1.7740
0.447293	1.8239
0.447295	1.8735
0.447364	1.9265
0.447387	1.9738
0.447339	2.0034
0.447312	2.0341
0.447302	2.0739
0.447312	2.1236
0.447302	2.1737
0.447308	2.2246
0.447290	2.2741
0.447283	2.3051
0.447286	2.3356
0.447283	2.3739
0.447275	2.4238
0.447297	2.4755
0.447278	2.5245
0.447299	2.5740
0.447283	2.6048
0.447282	2.6348
0.447262	2.6739
0.447302	2.7264
0.447280	2.7739
0.447275	2.8244
0.447286	2.8740
0.447281	2.9044
0.447275	2.9350
0.447294	2.9740
0.447279	3.0237
0.447266	3.0736
0.447290	3.1266
0.447273	3.1740
0.447292	3.2045
0.447282	3.2348
0.447274	3.2738
0.447283	3.3236
0.447308	3.3739
0.447287	3.4250
0.447279	3.4760
0.447300	3.5065
0.447314	3.5369
0.447324	3.5740
0.447344	3.6240
0.447429	3.6735
0.447545	3.7246
0.447417	3.7738
0.447376	3.8041
0.447647	3.8348
0.447545	3.8738
0.447101	3.9239
0.447190	3.9760
0.447840	4.0243
0.448021	4.0740
0.447748	4.1044
0.447727	4.1354
0.447763	4.1736
0.447834	4.2233
0.447749	4.2735
0.445664	4.3246
0.444770	4.3764
0.445302	4.4074
0.444877	4.4381
0.444259	4.4770
0.445390	4.5235
0.438316	4.5737
0.440630	4.6245
0.444276	4.6738
0.449704	4.7048
0.447009	4.7366
0.446773	4.7764
0.448461	4.8240
0.448428	4.8737
0.443744	4.9246
0.449827	4.9742
0.448482	5.0047
0.446092	5.0352
0.446699	5.0745
0.450036	5.1242
0.445888	5.1765
0.448051	5.2248
0.448283	5.2738
