Power (mW)	Time (sek)
0.433316	0.0822
0.433306	0.1122
0.433293	0.1429
0.433260	0.1914
0.433260	0.2406
0.433268	0.2911
0.433289	0.3397
0.433259	0.3907
0.433201	0.4216
0.433257	0.4540
0.433274	0.4912
0.433245	0.5397
0.433226	0.5900
0.433235	0.6399
0.433220	0.6906
0.433245	0.7205
0.433256	0.7509
0.433247	0.7903
0.433247	0.8421
0.433270	0.8897
0.433236	0.9395
0.433266	0.9907
0.433289	1.0212
0.433255	1.0526
0.433237	1.0909
0.433261	1.1400
0.433295	1.1913
0.433249	1.2417
0.433248	1.2906
0.433258	1.3211
0.433257	1.3529
0.433270	1.3906
0.433265	1.4402
0.433264	1.4898
0.433266	1.5402
0.433271	1.5906
0.433274	1.6219
0.433275	1.6522
0.433287	1.6905
0.433260	1.7403
0.433299	1.7902
0.433289	1.8400
0.433283	1.8908
0.433300	1.9216
0.433274	1.9526
0.433305	1.9907
0.433289	2.0412
0.433320	2.0898
0.433283	2.1396
0.433312	2.1922
0.433320	2.2228
0.433285	2.2532
0.433316	2.2908
0.433300	2.3397
0.433294	2.3902
0.433310	2.4421
0.433310	2.4911
0.433285	2.5219
0.433317	2.5526
0.433333	2.5907
0.433285	2.6399
0.432722	2.6901
0.431427	2.7400
0.431574	2.7903
0.433360	2.8214
0.423582	2.8522
0.432428	2.8896
0.430379	2.9399
0.434819	2.9893
0.433120	3.0418
0.431322	3.0905
0.436727	3.1215
0.435996	3.1526
0.431678	3.1918
0.431226	3.2422
0.432952	3.2895
0.434916	3.3398
0.433278	3.3905
0.432764	3.4219
0.432090	3.4528
0.433930	3.4903
0.434696	3.5398
0.432724	3.5901
0.431897	3.6415
0.435120	3.6913
0.432976	3.7226
0.432055	3.7532
0.432983	3.7909
0.434364	3.8402
0.433137	3.8899
0.433249	3.9399
0.433314	3.9906
0.433411	4.0217
0.433858	4.0521
0.433157	4.0906
0.432611	4.1400
0.433460	4.1917
0.433590	4.2400
0.432820	4.2904
0.433155	4.3204
0.433195	4.3507
0.433422	4.3897
0.433469	4.4412
0.433086	4.4897
0.432908	4.5396
0.433632	4.5903
0.433276	4.6207
0.432996	4.6505
0.432963	4.6901
0.433353	4.7397
0.433377	4.7898
0.433147	4.8419
0.433090	4.8908
0.433370	4.9220
0.433348	4.9527
0.433244	4.9899
0.432992	5.0396
0.433260	5.0900
0.433376	5.1402
0.433121	5.1920
0.433127	5.2230
0.433263	5.2532
0.433361	5.2909
0.433308	5.3403
0.433099	5.3895
0.433188	5.4396
0.433357	5.4905
0.433222	5.5212
0.433146	5.5517
0.433137	5.5902
0.433256	5.6420
0.433292	5.6894
0.433164	5.7392
0.433195	5.7905
0.433292	5.8213
0.433257	5.8517
0.433211	5.8901
0.433168	5.9395
0.433218	5.9894
0.433254	6.0429
0.433197	6.0903
0.433146	6.1211
0.433204	6.1515
0.433278	6.1910
0.433250	6.2392
0.433132	6.2901
0.433215	6.3392
0.433289	6.3906
0.433177	6.4211
0.433157	6.4522
0.433176	6.4895
0.433256	6.5397
0.433244	6.5900
0.433171	6.6391
0.433231	6.6902
0.433244	6.7200
0.433229	6.7500
0.433201	6.7893
0.433208	6.8408
0.433208	6.8896
0.433195	6.9393
0.433215	6.9899
0.433195	7.0199
0.433189	7.0503
0.433207	7.0900
0.433199	7.1397
0.433178	7.1912
0.433199	7.2414
0.433207	7.2901
0.433189	7.3199
0.433199	7.3500
0.433200	7.3897
0.433180	7.4396
0.433201	7.4896
0.433202	7.5391
0.433198	7.5902
0.433210	7.6204
0.433213	7.6503
0.433218	7.6895
0.433212	7.7391
0.433221	7.7892
0.433223	7.8392
0.433227	7.8902
0.433207	7.9206
0.433216	7.9506
0.433232	7.9894
0.433209	8.0420
0.433212	8.0893
0.433195	8.1392
0.433224	8.1921
0.433211	8.2225
0.433202	8.2529
0.433200	8.2899
0.433202	8.3394
0.433221	8.3896
0.433205	8.4392
0.433234	8.4919
0.433245	8.5220
0.433219	8.5520
0.433201	8.5893
0.433185	8.6392
0.433242	8.6895
0.433224	8.7397
0.433195	8.7905
0.433215	8.8208
0.433225	8.8512
0.433213	8.8927
0.433213	8.9397
0.433224	8.9896
0.433215	9.0407
0.433222	9.0906
0.433230	9.1211
0.433239	9.1518
0.433230	9.1916
0.433237	9.2401
0.433247	9.2914
0.433246	9.3398
0.433255	9.3909
0.433264	9.4224
0.433265	9.4541
0.433259	9.4909
0.433277	9.5392
0.433281	9.5897
0.433275	9.6400
0.433278	9.6926
0.433270	9.7248
0.433281	9.7573
0.433273	9.8086
0.433243	9.8579
