Power (mW)	Time (sek)
1.219582	0.0906
1.219903	0.1035
1.219100	0.1182
1.219421	0.1301
1.219903	0.1444
1.219903	0.1865
1.219582	0.2015
1.219742	0.2358
1.219100	0.2522
1.219421	0.2655
1.219421	0.2799
1.219582	0.2942
1.219903	0.3097
1.219261	0.3309
1.219582	0.3509
1.219100	0.3854
1.219903	0.4011
1.219421	0.4319
1.219582	0.4494
1.219421	0.4857
1.220224	0.4973
1.219261	0.5367
1.219421	0.5523
1.219421	0.5673
1.219100	0.5782
1.219742	0.5942
1.219742	0.6321
1.218940	0.6488
1.219582	0.6803
1.219582	0.6990
1.219261	0.7340
1.218940	0.7532
1.219261	0.7859
1.219421	0.7971
1.218618	0.8321
1.219421	0.8496
1.219421	0.8628
1.218779	0.8798
1.219582	0.8942
1.219903	0.9089
1.219421	0.9394
1.219261	0.9536
1.219100	0.9862
1.219742	1.0001
1.219421	1.0331
1.219421	1.0487
1.219100	1.0861
1.219742	1.1001
1.219100	1.1392
1.219261	1.1531
1.219903	1.1685
1.219261	1.1810
1.219582	1.1983
1.219582	1.2291
1.219582	1.2500
1.219582	1.2840
1.219742	1.2991
1.219261	1.3392
1.220063	1.3530
1.219421	1.3846
1.219100	1.4007
1.219261	1.4372
1.219261	1.4521
1.219421	1.4646
1.219261	1.4778
1.219100	1.4958
1.219261	1.5355
1.218618	1.5483
1.219742	1.5835
1.220224	1.5975
1.236603	1.6323
1.236282	1.6519
1.231946	1.6831
1.237406	1.6993
1.236282	1.7331
1.236764	1.7510
1.236924	1.7667
1.236924	1.7830
1.235800	1.7955
1.236442	1.8364
1.234194	1.8491
1.232910	1.8845
1.229377	1.8998
1.223275	1.9399
1.220063	1.9541
1.220224	1.9852
1.220063	1.9988
1.219742	2.0374
1.220063	2.0501
1.220063	2.0638
1.219582	2.0805
1.219742	2.0958
1.219100	2.1370
1.219903	2.1525
1.218940	2.1876
1.219903	2.2030
1.219100	2.2348
1.219421	2.2502
1.219261	2.2826
1.219261	2.2992
1.219261	2.3381
1.219100	2.3497
1.218940	2.3661
1.218618	2.3804
1.218940	2.3963
1.219582	2.4340
1.219421	2.4512
1.219100	2.4804
1.218618	2.5015
1.218779	2.5329
1.219100	2.5504
1.218940	2.5863
1.219421	2.5977
1.219100	2.6342
1.218940	2.6514
1.218940	2.6643
1.218779	2.6808
1.218779	2.6931
1.219100	2.7097
1.218779	2.7379
1.218940	2.7530
1.219100	2.7859
1.219100	2.8008
1.218618	2.8340
1.218618	2.8521
1.218618	2.8812
1.218458	2.9003
1.218779	2.9329
1.218458	2.9536
1.218779	2.9671
1.218779	2.9829
1.219261	2.9948
1.218297	3.0349
1.219100	3.0495
1.218137	3.0867
1.218618	3.0999
1.219261	3.1386
1.218458	3.1499
1.218458	3.1855
