Power (mW)	Time (sek)
1.178455	0.1070
1.178432	0.1397
1.178352	0.1707
1.178432	0.2017
1.178464	0.2402
1.178397	0.2961
1.178423	0.3439
1.178506	0.3923
1.178526	0.4419
1.178506	0.4743
1.178612	0.5254
1.178606	0.5728
1.178609	0.6256
1.178522	0.6707
1.178490	0.7255
1.178554	0.7498
1.178471	0.8478
1.178548	0.8959
1.178574	0.9430
1.178487	0.9883
1.178680	1.0375
1.178442	1.0747
1.178606	1.1256
1.178641	1.1743
1.178628	1.2237
1.178574	1.2776
1.178651	1.3244
1.178471	1.3550
1.178571	1.3864
1.178570	1.4251
1.178648	1.4773
1.178651	1.5255
1.178538	1.5748
1.178654	1.6252
1.178529	1.6531
1.178580	1.6834
1.178583	1.7203
1.178503	1.7755
1.178480	1.8257
1.178545	1.8762
1.178423	1.9256
1.178539	1.9527
1.178577	1.9866
1.178645	2.0258
1.178525	2.0747
1.178548	2.1256
1.178574	2.1757
1.178574	2.2174
1.178571	2.2509
1.178583	2.2855
1.178638	2.3247
1.178596	2.3763
1.178615	2.4254
1.178628	2.4777
1.178651	2.5251
1.178628	2.5560
1.178667	2.5810
1.178609	2.6260
1.178593	2.6778
1.178686	2.7195
1.178654	2.7756
1.178651	2.8223
1.178535	2.8558
1.177806	2.8861
1.178419	2.9216
1.178484	2.9756
1.178464	3.0251
1.177697	3.0757
1.178715	3.1189
1.178715	3.1495
1.178500	3.1847
1.178510	3.2257
1.178426	3.2778
1.178468	3.3254
1.178474	3.3752
1.178574	3.4258
1.178593	3.4551
1.178574	3.4825
1.178551	3.5249
1.178548	3.5734
1.178567	3.6257
1.178452	3.6778
1.178433	3.7169
1.178580	3.7543
1.178474	3.7883
1.178461	3.8219
1.178506	3.8708
1.178445	3.9245
1.178480	3.9740
1.178461	4.0243
1.178375	4.0557
1.178378	4.0860
1.178320	4.1257
1.178275	4.1754
1.178304	4.2255
1.178246	4.2758
1.178301	4.3252
1.178282	4.3559
1.178359	4.3836
1.178188	4.4229
1.178275	4.4781
1.178301	4.5255
1.178323	4.5771
1.178217	4.6163
1.178259	4.6561
1.178275	4.6805
1.178291	4.7257
1.178246	4.7746
1.178365	4.8256
1.178455	4.8775
1.178375	4.9230
1.178381	4.9534
1.178349	4.9827
1.178220	5.0259
1.178432	5.0779
1.178300	5.1256
1.178288	5.1664
1.178278	5.2259
1.178233	5.2497
1.178291	5.2852
1.178230	5.3224
1.178198	5.3757
1.178201	5.4254
1.178272	5.4777
1.178211	5.5258
1.178166	5.5574
1.178150	5.5867
1.178169	5.6272
1.178169	5.6763
1.178201	5.7241
1.178172	5.7760
1.178246	5.8251
1.178150	5.8566
1.178188	5.8834
1.178262	5.9257
1.178156	5.9726
1.178336	6.0257
1.178285	6.0749
1.178217	6.1215
1.178275	6.1561
1.178204	6.1869
1.178265	6.2257
1.178281	6.2782
1.178349	6.3256
1.178220	6.3736
1.178233	6.4252
1.178230	6.4557
1.178195	6.4862
1.178211	6.5257
1.178175	6.5720
1.178024	6.6243
1.178041	6.6771
1.178127	6.7242
1.178034	6.7557
1.178172	6.7839
1.178127	6.8237
1.178188	6.8772
1.178037	6.9253
1.178041	6.9713
1.178111	7.0253
1.178021	7.0546
1.178134	7.0830
1.178066	7.1245
1.178156	7.1748
1.178195	7.2246
1.178307	7.2780
1.178150	7.3242
1.178211	7.3551
1.178246	7.3845
1.178278	7.4259
1.178182	7.4772
1.178346	7.5222
1.178265	7.5761
1.178304	7.6229
1.178227	7.6510
1.178285	7.6853
1.178288	7.7237
1.178371	7.7675
1.178301	7.8236
1.178278	7.8767
1.178150	7.9238
1.178201	7.9481
1.178227	7.9852
1.178230	8.0247
1.178211	8.0776
1.178323	8.1208
1.178118	8.1757
1.178253	8.2255
1.178156	8.2577
1.178214	8.2874
1.178214	8.3238
1.178124	8.3723
1.178153	8.4231
1.178115	8.4761
1.178166	8.5246
1.178198	8.5550
1.178169	8.5880
1.178192	8.6235
1.178070	8.6772
1.178037	8.7219
1.178243	8.7752
1.178195	8.8260
1.178211	8.8569
1.178147	8.8878
1.178079	8.9259
1.178156	8.9756
1.178131	9.0202
1.178265	9.0767
1.178192	9.1257
1.178150	9.1574
1.178278	9.1873
1.178191	9.2267
1.178227	9.2775
1.178227	9.3261
1.178169	9.3760
1.178173	9.4221
1.178069	9.4569
1.178240	9.4868
1.178172	9.5260
1.178153	9.5759
1.178236	9.6260
1.178156	9.6778
1.178134	9.7257
1.178059	9.7474
1.178188	9.7818
1.178185	9.8257
1.178192	9.8774
1.178089	9.9255
1.178169	9.9761
1.178114	10.0245
1.178156	10.0563
1.178076	10.0870
1.178079	10.1252
1.178079	10.1752
1.178134	10.2245
1.178066	10.2772
1.178044	10.3249
1.178066	10.3544
1.178124	10.3832
1.178089	10.4218
1.178217	10.4767
1.178175	10.5260
1.178111	10.5748
1.178205	10.6214
1.178114	10.6547
1.178169	10.6853
1.178156	10.7251
1.178169	10.7748
1.178233	10.8249
1.178230	10.8767
1.178204	10.9251
1.178086	10.9563
1.178201	10.9854
1.178098	11.0199
1.178211	11.0759
1.178070	11.1209
1.178185	11.1752
1.178153	11.2230
1.178066	11.2566
1.178127	11.2832
1.178066	11.3260
1.178169	11.3758
1.178163	11.4252
1.178086	11.4775
1.178163	11.5256
1.178089	11.5560
1.178105	11.5870
1.178114	11.6233
1.178082	11.6746
1.178236	11.7254
1.178137	11.7666
1.178172	11.8249
1.178217	11.8562
1.178185	11.8878
1.178069	11.9267
1.178076	11.9759
1.178063	12.0218
1.178137	12.0768
1.178239	12.1255
1.178211	12.1553
1.178146	12.1832
1.178172	12.2252
1.178163	12.2778
1.178185	12.3249
1.178243	12.3744
1.178192	12.4255
1.178198	12.4511
1.178239	12.4879
1.178191	12.5258
1.178195	12.5755
1.178249	12.6256
1.178294	12.6764
1.178179	12.7214
1.178256	12.7542
1.178188	12.7879
1.178236	12.8224
1.178281	12.8781
1.178291	12.9234
1.178304	12.9749
1.178320	13.0233

Mean Power (dBm):	0.7125
Mean Power (mW):	1.178297
