Power (mW)	Time (sek)
1.190154	0.0803
1.190200	0.1129
1.190064	0.1408
1.190113	0.1702
1.190116	0.2171
1.190167	0.2683
1.190157	0.3191
1.190132	0.3650
1.190135	0.4178
1.190126	0.4485
1.190276	0.5022
1.190254	0.5459
1.190244	0.5990
1.190222	0.6499
1.190135	0.6993
1.190174	0.7319
1.190065	0.7627
1.190228	0.8185
1.190296	0.8657
1.190142	0.9150
1.190113	0.9672
1.190145	1.0186
1.190142	1.0480
1.190173	1.1004
1.190209	1.1499
1.190106	1.1993
1.190110	1.2489
1.190379	1.3023
1.190145	1.3328
1.190129	1.3634
1.190218	1.4127
1.190132	1.4677
1.190183	1.5187
1.190103	1.5678
1.190138	1.6182
1.190289	1.6482
1.190190	1.7023
1.190232	1.7486
1.190103	1.7992
1.190103	1.8477
1.190158	1.9016
1.190277	1.9331
1.190196	1.9637
1.190196	2.0030
1.190135	2.0497
1.190245	2.0987
1.190164	2.1483
1.190132	2.1990
1.190045	2.2287
1.190071	2.2592
1.189991	2.3021
1.190074	2.3494
1.190045	2.3997
1.190081	2.4489
1.190106	2.5017
1.190135	2.5305
1.190100	2.5615
1.190132	2.5938
1.190148	2.6486
1.190142	2.7018
1.190151	2.7495
1.190154	2.7906
1.190052	2.8296
1.190026	2.8595
1.190048	2.9013
1.190116	2.9426
1.189875	3.0001
1.185626	3.0491
1.179710	3.0985
1.177938	3.1317
1.182585	3.1622
1.188767	3.2002
1.209729	3.2483
1.182286	3.2975
1.185038	3.3500
1.190822	3.3968
1.191028	3.4295
1.191121	3.4581
1.191320	3.4984
1.190042	3.5454
1.189634	3.5957
1.190023	3.6458
1.191092	3.7012
1.191429	3.7311
1.191278	3.7517
1.190739	3.7975
1.189988	3.8484
1.189711	3.9005
1.190049	3.9481
1.190900	3.9991
1.191195	4.0275
1.191108	4.0581
1.190803	4.1004
1.190257	4.1457
1.190203	4.1974
1.190501	4.2437
1.190764	4.2982
1.190562	4.3270
1.190357	4.3546
1.190183	4.3958
1.190209	4.4477
1.190562	4.4952
1.190800	4.5446
