Power (mW)	Time (sek)
1.190357	0.0691
1.190196	0.0800
1.190036	0.0946
1.190196	0.1069
1.190196	0.1215
1.190357	0.1368
1.190839	0.1503
1.190196	0.1620
1.190839	0.1955
1.190196	0.2104
1.190357	0.2479
1.190196	0.2621
1.190196	0.2903
1.190357	0.3111
1.190196	0.3471
1.189875	0.3581
1.190357	0.3976
1.190357	0.4101
1.190196	0.4259
1.190357	0.4387
1.189875	0.4534
1.190196	0.4658
1.189875	0.4939
1.189875	0.5105
1.190036	0.5462
1.190036	0.5597
1.189875	0.5958
1.190196	0.6082
1.189554	0.6446
1.189393	0.6603
1.190678	0.6934
1.190357	0.7103
1.190196	0.7240
1.189875	0.7383
1.190357	0.7520
1.190196	0.7651
1.190196	0.7913
1.190357	0.8082
1.190196	0.8460
1.190196	0.8627
1.190357	0.8974
1.190517	0.9113
1.190357	0.9467
1.190036	0.9583
1.189554	0.9943
1.190839	1.0080
1.189875	1.0237
1.190517	1.0366
1.189554	1.0534
1.189875	1.0644
1.189715	1.0964
1.190357	1.1102
1.190357	1.1391
1.190196	1.1588
1.190357	1.1970
1.190357	1.2078
1.190357	1.2471
1.190357	1.2604
1.190196	1.2966
1.189875	1.3082
1.190517	1.3220
1.190357	1.3365
1.190357	1.3515
1.190357	1.3624
1.190357	1.3899
1.189875	1.4104
1.190357	1.4497
1.189715	1.4603
1.190196	1.4943
1.190196	1.5078
1.190517	1.5450
1.189875	1.5579
1.190196	1.5923
1.190196	1.6108
1.190196	1.6251
1.190678	1.6368
1.190036	1.6530
1.190517	1.6657
1.190196	1.6968
1.190196	1.7081
1.190036	1.7474
1.190196	1.7582
1.190839	1.7939
1.190357	1.8077
1.190036	1.8425
1.190196	1.8621
1.190196	1.8919
1.190196	1.9105
1.190357	1.9237
1.189554	1.9355
1.190517	1.9512
1.189875	1.9621
1.190678	1.9937
1.190357	2.0111
1.189715	2.0423
1.190678	2.0628
1.189715	2.0937
1.190357	2.1082
1.190678	2.1430
1.190517	2.1580
1.190036	2.1927
1.190036	2.2112
1.190036	2.2241
1.189875	2.2380
1.190036	2.2523
1.190357	2.2638
1.190357	2.2900
1.190036	2.3082
1.189875	2.3391
1.189875	2.3602
1.190517	2.3956
1.190357	2.4098
1.190999	2.4444
1.190839	2.4630
1.190036	2.4953
1.190517	2.5080
1.190517	2.5228
1.190196	2.5356
1.191320	2.5518
1.190517	2.5625
1.190036	2.5895
1.197101	2.6097
1.196780	2.6496
1.199349	2.6611
1.201758	2.6959
1.201918	2.7079
1.202400	2.7447
1.202079	2.7601
1.202079	2.7949
1.201437	2.8088
1.201918	2.8255
1.202240	2.8379
1.202240	2.8521
1.202561	2.8637
1.202240	2.8938
1.201758	2.9089
1.202079	2.9454
1.202079	2.9598
1.201758	2.9959
1.200152	3.0084
1.195014	3.0453
1.198065	3.0640
1.190839	3.0947
1.192123	3.1093
1.190517	3.1206
1.190999	3.1377
1.191320	3.1504
1.191160	3.1617
1.190999	3.1930
1.190517	3.2096
1.190357	3.2495
1.190517	3.2612
1.190357	3.2970
1.190357	3.3116
1.190196	3.3470
1.190357	3.3579
1.190196	3.3960
1.189875	3.4097
1.190036	3.4235
1.189554	3.4366
1.189715	3.4533
1.189715	3.4676
1.190036	3.4970
1.189875	3.5123
1.189554	3.5441
1.189554	3.5571
1.189072	3.5897
1.189554	3.6106
1.189715	3.6413
1.190036	3.6607
1.189233	3.6978
1.189393	3.7115
1.189393	3.7260
1.188912	3.7387
1.188912	3.7525
1.189554	3.7681
1.189233	3.7953
1.189233	3.8097
1.189072	3.8507
1.189072	3.8641
1.189233	3.8973
1.189875	3.9097
1.189233	3.9483
1.188912	3.9615
1.189393	3.9960
1.189233	4.0101
1.188912	4.0283
1.189715	4.0433
1.189393	4.0600
1.189554	4.0997
1.189072	4.1163
1.189233	4.1470
1.188590	4.1616
1.189233	4.1925
1.188912	4.2098
1.188590	4.2497
1.189072	4.2633
1.188751	4.2943
1.189072	4.3092
1.189072	4.3231
1.189554	4.3363
1.189072	4.3511
1.189233	4.3662
1.189393	4.3932
1.189393	4.4110
1.190036	4.4499
1.189072	4.4630
1.189715	4.4970
1.189233	4.5084
1.188912	4.5472
1.189393	4.5607
1.188912	4.5965
1.189233	4.6111
1.189233	4.6250
1.188912	4.6376
1.189233	4.6500
1.188590	4.6661
1.188751	4.6965
1.188912	4.7091
1.189233	4.7478
1.189072	4.7607
1.188430	4.7978
1.189072	4.8090
1.188912	4.8443
1.188590	4.8627
1.188430	4.8978
1.188912	4.9093
1.189233	4.9248
1.188912	4.9378
1.189233	4.9509
1.189072	4.9659
1.188912	4.9970
1.188912	5.0089
1.188912	5.0503
1.188590	5.0635
1.188430	5.0939
1.188912	5.1085
1.188590	5.1410
1.189393	5.1602
1.188590	5.1979
1.188751	5.2087
1.188912	5.2259
1.188751	5.2381
1.189072	5.2518
1.188912	5.2677
1.188590	5.2931
1.188751	5.3093
1.188590	5.3426
1.189072	5.3598
1.189554	5.3970
1.189072	5.4108
1.188590	5.4428
1.188590	5.4610
1.188912	5.4907
1.187788	5.5090
1.188912	5.5228
1.188751	5.5382
1.188751	5.5499
1.188590	5.5666
1.188269	5.5949
1.188109	5.6117
1.188751	5.6500
1.188912	5.6650
1.188912	5.6984
1.188430	5.7090
1.188430	5.7438
1.188590	5.7584
1.188590	5.7980
1.188590	5.8119
1.188430	5.8231
1.189393	5.8395
1.188430	5.8502
1.188269	5.8668
1.188912	5.8986
1.188590	5.9091
1.189072	5.9486
1.188912	5.9594
1.188430	5.9987
1.188269	6.0105
1.188430	6.0495
1.188751	6.0614
1.188912	6.0987
1.188912	6.1096
1.188269	6.1237
1.188269	6.1412
1.188912	6.1518
1.188430	6.1669
1.188751	6.1964
1.188430	6.2128
1.188430	6.2496
1.188751	6.2613
1.188590	6.2950
1.188430	6.3099
1.188109	6.3458
1.188430	6.3590
1.188912	6.3983
1.189393	6.4089
1.188751	6.4255
1.188269	6.4363
1.187948	6.4518

Mean Power (dBm):	0.7569
Mean Power (mW):	1.190389
