Power (mW)	Time (sek)
0.427881	0.0815
0.427850	0.1114
0.427815	0.1420
0.427826	0.1725
0.427869	0.2139
0.427851	0.2644
0.427828	0.3158
0.427832	0.3662
0.427837	0.4152
0.427858	0.4457
0.427849	0.4960
0.427849	0.5457
0.427824	0.5957
0.427835	0.6462
0.427847	0.6989
0.427862	0.7290
0.427866	0.7597
0.427851	0.7960
0.427845	0.8460
0.427827	0.8956
0.427856	0.9456
0.427833	0.9965
0.427832	1.0275
0.427830	1.0592
0.427827	1.0974
0.427820	1.1474
0.427833	1.1956
0.427811	1.2460
0.427808	1.2966
0.427805	1.3267
0.427789	1.3578
0.427793	1.3958
0.427808	1.4468
0.427798	1.4981
0.427810	1.5456
0.427791	1.5968
0.427803	1.6274
0.427807	1.6584
0.427796	1.6960
0.427791	1.7457
0.427795	1.7958
0.427794	1.8457
0.427793	1.8983
0.427796	1.9286
0.427803	1.9594
0.427806	1.9962
0.427819	2.0458
0.427808	2.0957
0.427797	2.1457
0.427824	2.1967
0.427812	2.2277
0.427811	2.2586
0.427807	2.2982
0.427807	2.3474
0.427795	2.3956
0.427781	2.4460
0.427813	2.4965
0.427823	2.5265
0.427820	2.5574
0.427668	2.5960
0.427350	2.6458
0.427415	2.6975
0.427740	2.7458
0.428044	2.7963
0.427076	2.8268
0.425725	2.8583
0.424883	2.8956
0.423942	2.9453
0.422439	2.9953
0.421639	3.0454
0.421230	3.0984
0.421080	3.1286
0.421095	3.1585
0.421157	3.1957
0.421206	3.2457
0.421013	3.2957
0.421920	3.3474
0.423664	3.3962
0.428221	3.4271
0.428574	3.4580
0.427908	3.4969
0.426386	3.5455
0.426546	3.5953
0.426554	3.6453
0.426638	3.6970
0.426575	3.7283
0.426641	3.7591
0.426600	3.7962
0.426680	3.8461
0.426618	3.8983
0.426652	3.9457
0.426682	3.9969
0.426667	4.0282
0.426725	4.0587
0.426735	4.0962
0.426733	4.1477
0.426689	4.1958
0.426679	4.2462
0.426693	4.2985
0.426734	4.3286
0.426692	4.3589
0.426631	4.3960
0.426588	4.4458
0.426586	4.4957
0.426640	4.5457
0.426666	4.5969
0.426671	4.6270
0.426723	4.6579
0.426711	4.6985
0.426724	4.7459
0.426663	4.7958
0.426670	4.8461
0.426780	4.8964
0.426841	4.9272
0.426795	4.9582
0.426712	4.9958
0.426657	5.0460
0.426749	5.0975
0.426847	5.1455
0.426790	5.1967
0.426726	5.2272
0.426744	5.2576
0.426823	5.2963
0.426906	5.3481
0.426919	5.3958
0.426770	5.4462
0.426719	5.4990
0.426827	5.5296
0.426840	5.5603
0.426794	5.5974
0.426655	5.6460
0.426569	5.6962
0.426697	5.7460
0.426916	5.7966
0.427019	5.8272
0.427043	5.8575
0.427037	5.8971
0.426976	5.9456
0.426903	5.9957
0.426837	6.0456
0.426821	6.0965
0.426848	6.1267
0.426898	6.1575
0.426921	6.1958
0.426934	6.2457
