Power (mW)	Time (sek)
0.440993	0.1079
0.440961	0.1382
0.440935	0.1750
0.440955	0.2062
0.440995	0.2369
0.440978	0.2740
0.440953	0.3251
0.440972	0.3735
0.440965	0.4245
0.440958	0.4757
0.440945	0.5063
0.440954	0.5373
0.440940	0.5735
0.440975	0.6235
0.440958	0.6736
0.440969	0.7243
0.440965	0.7736
0.440961	0.8035
0.440946	0.8343
0.440950	0.8758
0.440971	0.9234
0.440970	0.9733
0.440975	1.0243
0.440972	1.0737
0.440968	1.1042
0.440957	1.1349
0.440953	1.1735
0.440955	1.2235
0.440924	1.2755
0.440934	1.3261
0.440952	1.3755
0.440971	1.4058
0.440978	1.4361
0.440979	1.4733
0.440995	1.5233
0.440996	1.5733
0.441007	1.6243
0.440999	1.6758
0.440989	1.7059
0.440998	1.7358
0.440976	1.7737
0.440980	1.8236
0.440984	1.8733
0.440982	1.9247
0.440982	1.9740
0.440996	2.0042
0.440973	2.0351
0.440971	2.0752
0.440977	2.1237
0.440991	2.1735
0.440994	2.2246
0.440989	2.2738
0.440994	2.3040
0.441000	2.3342
0.441003	2.3734
0.441009	2.4234
0.441038	2.4756
0.441025	2.5241
0.441012	2.5735
0.441032	2.6034
0.441053	2.6335
0.441024	2.6734
0.441010	2.7233
0.441038	2.7733
0.441040	2.8248
0.441015	2.8767
0.441026	2.9067
0.441042	2.9368
0.441014	2.9734
0.441020	3.0234
0.441036	3.0732
0.441027	3.1246
0.441003	3.1741
0.441013	3.2041
0.441052	3.2338
0.441033	3.2761
0.441017	3.3250
0.441027	3.3733
0.441010	3.4246
0.441009	3.4735
0.441015	3.5037
0.441040	3.5341
0.441028	3.5732
0.441014	3.6236
0.440984	3.6753
0.440996	3.7243
0.441001	3.7736
0.440997	3.8039
0.440996	3.8343
0.440983	3.8736
0.440991	3.9232
0.441006	3.9734
0.440977	4.0247
0.441019	4.0758
0.441010	4.1058
0.441011	4.1361
0.441004	4.1735
0.441007	4.2239
0.441016	4.2739
0.441033	4.3261
0.441019	4.3743
0.440986	4.4050
0.441011	4.4354
0.441021	4.4757
0.441022	4.5235
0.441025	4.5741
0.441004	4.6246
0.441016	4.6735
0.441007	4.7041
0.441007	4.7343
0.441015	4.7735
0.441026	4.8239
0.441037	4.8763
0.441007	4.9247
0.441032	4.9742
0.441037	5.0051
0.441041	5.0358
0.441038	5.0740
0.441057	5.1236
0.441081	5.1734
0.441069	5.2242
0.441082	5.2757
0.441068	5.3065
0.441102	5.3364
0.441095	5.3735
0.441085	5.4243
0.441091	5.4734
0.441101	5.5241
0.441113	5.5740
0.441109	5.6048
0.441136	5.6355
0.441129	5.6758
0.441133	5.7235
0.441125	5.7735
0.441123	5.8244
0.441118	5.8751
0.441118	5.9059
0.441111	5.9366
0.441102	5.9732
0.441119	6.0235
0.441107	6.0754
0.441088	6.1244
0.441101	6.1737
0.441083	6.2040
0.441092	6.2345
0.441072	6.2735
0.441069	6.3252
0.441078	6.3734
0.441078	6.4243
0.441079	6.4754
0.441079	6.5060
0.441077	6.5365
0.441068	6.5737
0.441071	6.6231
0.441093	6.6730
0.441090	6.7242
0.441099	6.7737
0.441085	6.8040
0.441106	6.8349
0.441109	6.8746
0.441118	6.9233
0.441145	6.9737
0.441146	7.0247
0.441164	7.0742
0.441200	7.1050
0.441206	7.1361
0.440756	7.1729
0.439569	7.2230
0.437947	7.2764
0.440420	7.3269
0.441787	7.3752
0.437475	7.4058
0.435718	7.4399
0.439715	7.4919
0.440647	7.5419
0.440203	7.5923
0.444194	7.6436
0.442907	7.6945
0.439335	7.7256
0.439154	7.7744
0.439146	7.8248
0.444307	7.8763
0.441126	7.9249
0.440289	7.9738
0.442560	8.0042
0.441516	8.0349
0.440858	8.0764
0.442464	8.1241
0.440847	8.1740
0.441339	8.2246
0.441353	8.2739
0.440641	8.3042
0.441722	8.3348
0.441893	8.3739
0.441907	8.4233
0.440246	8.4751
0.442055	8.5248
0.441888	8.5740
0.440768	8.6047
0.440313	8.6349
0.441418	8.6737
0.441650	8.7237
0.441504	8.7736
0.440849	8.8239
0.441414	8.8754
0.441344	8.9052
0.441373	8.9349
0.441193	8.9732
0.441555	9.0234
0.441117	9.0734
0.441168	9.1245
0.441525	9.1737
0.441236	9.2040
0.441166	9.2343
0.441207	9.2752
0.441315	9.3254
0.441250	9.3735
0.441211	9.4244
0.441336	9.4734
0.441304	9.5041
0.441158	9.5340
0.441156	9.5732
0.441313	9.6236
0.441391	9.6754
0.441199	9.7243
0.441170	9.7738
0.441301	9.8040
0.441384	9.8343
0.441270	9.8734
0.441210	9.9237
0.441247	9.9737
0.441308	10.0248
0.441259	10.0751
0.441245	10.1057
0.441234	10.1366
0.441289	10.1737
0.441253	10.2234
0.441250	10.2737
0.441255	10.3260
0.441296	10.3736
0.441236	10.4043
0.441232	10.4348
0.441244	10.4763
0.441287	10.5238
0.441290	10.5733
0.441284	10.6243
0.441264	10.6738
0.441295	10.7045
0.441333	10.7352
0.441284	10.7741
0.441252	10.8234
0.441304	10.8769
0.441305	10.9241
0.441324	10.9737
0.441309	11.0035
0.441290	11.0342
0.441296	11.0741
0.441305	11.1232
0.441281	11.1736
0.441275	11.2246
0.441295	11.2763
0.441274	11.3072
0.441276	11.3373
0.441312	11.3735
0.441299	11.4234
0.441304	11.4738
0.441313	11.5244
0.441308	11.5734
0.441312	11.6045
0.441323	11.6349
0.441316	11.6749
0.441328	11.7231
0.441357	11.7731
0.441324	11.8244
0.441303	11.8735
0.441294	11.9046
0.441304	11.9354
0.441296	11.9740
0.441300	12.0241
0.441309	12.0759
0.441306	12.1244
0.441319	12.1739
0.441301	12.2052
0.441317	12.2359
0.441326	12.2740
0.441323	12.3253
0.441355	12.3731
0.441398	12.4244
0.441345	12.4756
0.441340	12.5060
0.441360	12.5365
0.441347	12.5735
0.441309	12.6239
0.441354	12.6734
0.441330	12.7245
0.441319	12.7735
0.441349	12.8044
0.441331	12.8354
0.441313	12.8759
0.441325	12.9236

Mean Power (dBm):	-3.5547
Mean Power (mW):	0.441091
