Power (mW)	Time (sek)
0.436649	0.0837
0.436643	0.1145
0.436625	0.1454
0.436640	0.1980
0.436640	0.2480
0.436646	0.2983
0.436622	0.3500
0.436626	0.3989
0.436624	0.4299
0.436650	0.4598
0.436635	0.4982
0.436631	0.5480
0.436635	0.5981
0.436624	0.6480
0.436648	0.6987
0.436630	0.7295
0.436639	0.7606
0.436628	0.8000
0.436629	0.8481
0.436642	0.8981
0.436628	0.9478
0.436631	0.9987
0.436615	1.0295
0.436635	1.0600
0.436634	1.0983
0.436628	1.1500
0.436649	1.1980
0.436630	1.2480
0.436635	1.2990
0.436613	1.3296
0.436622	1.3603
0.436619	1.3981
0.436614	1.4480
0.436624	1.4982
0.436610	1.5499
0.436618	1.6002
0.436597	1.6303
0.436595	1.6611
0.436594	1.6982
0.436592	1.7480
0.436593	1.7999
0.436595	1.8479
0.436595	1.8990
0.436575	1.9294
0.436574	1.9600
0.436576	1.9979
0.436578	2.0479
0.436578	2.0982
0.436581	2.1478
0.436566	2.1990
0.436594	2.2297
0.436556	2.2607
0.436589	2.2982
0.436562	2.3494
0.436596	2.3981
0.436550	2.4481
0.436586	2.4990
0.436592	2.5294
0.436574	2.5608
0.436592	2.5979
0.436564	2.6480
0.436573	2.6981
0.436586	2.7502
0.436578	2.8004
0.436621	2.8308
0.436711	2.8627
0.436838	2.8997
0.436842	2.9480
0.436943	2.9982
0.437116	3.0479
0.437245	3.0989
0.437319	3.1298
0.437318	3.1599
0.437227	3.1979
0.437239	3.2478
0.437236	3.2981
0.436908	3.3479
0.436541	3.3985
0.436206	3.4293
0.436102	3.4602
0.436071	3.4978
0.435993	3.5500
0.436242	3.5977
0.436437	3.6476
0.436579	3.6987
0.436868	3.7294
0.437095	3.7598
0.437328	3.7995
0.437695	3.8480
0.438069	3.8979
0.437995	3.9496
0.437619	3.9983
0.437322	4.0292
0.437085	4.0603
0.436890	4.0980
0.436729	4.1480
0.436709	4.1975
0.436704	4.2474
0.436719	4.2988
0.436683	4.3294
0.436669	4.3603
0.436656	4.3980
0.436664	4.4478
0.436680	4.4980
