Power (mW)	Time (sek)
1.178044	0.1032
1.178005	0.1350
1.178159	0.1854
1.178179	0.2336
1.178073	0.2654
1.177989	0.2974
1.178156	0.3375
1.178009	0.3859
1.178025	0.4359
1.178057	0.4858
1.178002	0.5373
1.178092	0.5648
1.178102	0.5981
1.178249	0.6360
1.178240	0.6828
1.178050	0.7382
1.178140	0.7858
1.178114	0.8348
1.178153	0.8659
1.178117	0.8953
1.178159	0.9354
1.178057	0.9854
1.178002	1.0368
1.178118	1.0806
1.178153	1.1375
1.178066	1.1650
1.178028	1.1929
1.178037	1.2290
1.178259	1.2827
1.178214	1.3370
1.178057	1.3835
1.178227	1.4350
1.178207	1.4636
1.178272	1.4950
1.178384	1.5331
1.178375	1.5819
1.178397	1.6285
1.178384	1.6810
1.178333	1.7352
1.178188	1.7683
1.178323	1.7971
1.178130	1.8301
1.178150	1.8846
1.178076	1.9344
1.178201	1.9843
1.178246	2.0292
1.178179	2.0637
1.178243	2.0963
1.178131	2.1377
1.178159	2.1858
1.178082	2.2348
1.178179	2.2825
1.178176	2.3359
1.178173	2.3682
1.178150	2.3964
1.178085	2.4328
1.178198	2.4804
1.178217	2.5362
1.178323	2.5847
1.178230	2.6353
1.178191	2.6632
1.178198	2.6956
1.178224	2.7377
1.178150	2.7846
1.178278	2.8346
1.178227	2.8802
1.178313	2.9351
1.178265	2.9685
1.178188	2.9981
1.178317	3.0365
1.178291	3.0873
1.178243	3.1448
1.178224	3.1971
1.178095	3.2359
1.178436	3.2616
1.178480	3.2930
1.178464	3.3476
1.178403	3.4011
1.178150	3.4487
1.178098	3.5039
1.178233	3.5561
1.178265	3.5855
1.178288	3.6339
1.178291	3.6806
1.178230	3.7364
1.178198	3.7788
1.178394	3.8347
1.178317	3.8662
1.178127	3.8965
1.178239	3.9360
1.178159	3.9852
1.178256	4.0362
1.178359	4.0858
1.178323	4.1364
1.178150	4.1629
1.178185	4.1964
1.178326	4.2367
1.178336	4.2861
1.177244	4.3378
1.175333	4.3842
1.174184	4.4317
1.175138	4.4637
1.176743	4.4954
1.176978	4.5340
1.177790	4.5855
1.178137	4.6343
1.178198	4.6853
