Power (mW)	Time (sek)
0.442486	0.0280
0.442488	0.0598
0.442504	0.0899
0.442517	0.1345
0.442507	0.1842
0.442489	0.2343
0.442476	0.2842
0.442485	0.3359
0.442467	0.3668
0.442473	0.3977
0.442469	0.4364
0.442471	0.4844
0.442493	0.5361
0.442488	0.5860
0.442486	0.6353
0.442463	0.6661
0.442491	0.6968
0.442474	0.7346
0.442481	0.7842
0.442493	0.8366
0.442486	0.8842
0.442490	0.9351
0.442489	0.9658
0.442487	0.9966
0.442479	1.0346
0.442481	1.0842
0.442494	1.1344
0.442494	1.1846
0.442495	1.2375
0.442484	1.2687
0.442484	1.2995
0.442478	1.3373
0.442471	1.3845
0.442499	1.4344
0.442483	1.4844
0.442491	1.5369
0.442471	1.5878
0.442490	1.6373
0.442482	1.6846
0.442488	1.7343
0.442483	1.7843
0.442504	1.8357
0.442488	1.8670
0.442493	1.8979
0.442483	1.9351
0.442490	1.9843
0.442485	2.0362
0.442473	2.0842
0.442491	2.1353
0.442484	2.1668
0.442497	2.1978
0.442487	2.2353
0.442486	2.2842
0.442504	2.3343
0.442482	2.3848
0.442478	2.4379
0.442478	2.4688
0.442501	2.5000
0.442495	2.5385
0.442494	2.5845
0.442499	2.6349
0.442467	2.6847
0.442474	2.7352
0.442469	2.7667
0.442477	2.7980
0.442477	2.8371
0.442488	2.8846
0.442506	2.9347
0.442491	2.9844
0.442494	3.0352
0.442458	3.0662
0.442463	3.0972
0.442471	3.1349
0.442479	3.1849
0.442486	3.2368
0.442486	3.2842
0.442486	3.3351
0.442450	3.3658
0.442468	3.3964
0.442442	3.4348
0.442438	3.4844
0.442464	3.5361
0.442468	3.5865
0.442472	3.6368
0.442453	3.6678
0.442452	3.6993
0.442444	3.7364
0.442417	3.7841
0.442451	3.8341
0.442432	3.8845
0.442464	3.9351
0.442447	3.9664
0.442437	3.9987
0.442412	4.0371
0.442419	4.0841
0.442413	4.1343
0.442408	4.1841
0.442430	4.2352
0.442426	4.2657
0.442433	4.2960
0.442420	4.3341
0.442416	4.3839
0.442406	4.4359
0.442391	4.4842
0.442422	4.5366
0.442416	4.5670
0.442424	4.5974
0.442414	4.6342
0.442403	4.6840
0.442416	4.7342
0.442399	4.7840
0.442430	4.8377
0.442414	4.8698
0.442418	4.9007
0.442420	4.9531
0.442403	5.0023
0.442408	5.0530
0.442400	5.1020
0.442424	5.1533
0.442409	5.1847
0.442429	5.2361
0.442405	5.2842
0.442408	5.3342
0.442377	5.3841
0.442390	5.4348
0.442390	5.4650
0.442416	5.4950
0.442397	5.5359
0.442394	5.5841
0.442409	5.6365
0.442393	5.6841
0.442391	5.7349
0.442392	5.7660
0.442412	5.7969
0.442413	5.8346
0.442412	5.8839
0.442422	5.9338
0.442387	5.9839
0.442389	6.0365
0.442382	6.0669
0.442405	6.0973
0.442396	6.1343
0.442406	6.1841
0.442412	6.2342
0.442399	6.2841
0.442403	6.3351
0.442372	6.3659
0.442397	6.3967
0.442394	6.4368
0.442397	6.4842
0.442408	6.5357
0.442385	6.5855
0.442400	6.6349
0.442379	6.6656
0.442386	6.6970
0.442374	6.7342
0.442388	6.7840
0.442398	6.8358
0.442387	6.8840
0.442392	6.9349
0.442369	6.9659
0.442393	6.9970
0.442375	7.0342
0.442372	7.0840
0.442392	7.1345
0.442384	7.1847
0.442393	7.2378
0.442376	7.2691
0.442361	7.3009
0.442379	7.3526
0.442369	7.4026
0.442375	7.4530
0.442379	7.5034
0.442379	7.5550
0.442348	7.5874
0.442347	7.6368
0.442356	7.6844
0.442377	7.7344
0.442367	7.7840
0.442384	7.8360
0.442367	7.8682
0.442371	7.8996
0.442368	7.9531
0.442362	8.0026
0.442388	8.0548
0.442390	8.1035
0.442392	8.1536
0.442381	8.1845
0.442386	8.2345
0.442378	8.2844
0.442376	8.3346
0.442358	8.3849
0.442373	8.4374
0.442369	8.4683
0.442368	8.5000
0.442376	8.5544
0.442359	8.6027
0.442349	8.6541
0.442355	8.7023
0.442361	8.7540
0.442353	8.7859
0.442365	8.8375
0.442346	8.8850
0.442342	8.9340
0.442336	8.9844
0.442339	9.0350
0.442338	9.0667
0.442356	9.0987
0.442346	9.1361
0.442348	9.1843
0.442351	9.2364
0.442334	9.2848
0.442334	9.3356
0.442321	9.3668
0.442332	9.3984
0.442329	9.4359
0.442324	9.4845
0.442331	9.5366
0.442309	9.5861
0.442322	9.6371
0.442307	9.6685
0.442291	9.6996
0.442302	9.7364
0.442296	9.7840
0.442314	9.8346
0.442301	9.8840
0.442304	9.9354
0.442289	9.9665
0.442308	9.9981
0.442305	10.0356
0.442299	10.0858
0.442302	10.1339
0.442276	10.1840
0.442295	10.2351
0.442284	10.2667
0.442304	10.2979
0.442299	10.3351
0.442282	10.3841
0.442295	10.4342
0.442278	10.4861
0.442281	10.5364
0.442268	10.5672
0.442280	10.5977
0.442271	10.6343
0.442269	10.6839
0.442273	10.7339
0.442263	10.7845
0.442276	10.8349
0.442259	10.8675
0.442265	10.8996
0.442274	10.9366
0.442263	10.9841
0.442269	11.0345
0.442268	11.0841
0.442276	11.1357
0.442259	11.1674
0.442264	11.1983
0.442258	11.2354
0.442256	11.2864
0.442257	11.3341
0.442257	11.3839
0.442278	11.4351
0.442250	11.4662
0.442263	11.4972
0.442252	11.5358
0.442242	11.5839
0.442251	11.6340
0.442238	11.6855
0.442256	11.7353
0.442250	11.7666
0.442252	11.7980
0.442245	11.8360
0.442243	11.8840
0.442251	11.9351
0.442237	11.9849
0.442264	12.0353
0.442260	12.0699
0.442253	12.1017
0.442251	12.1529
0.442241	12.2026
0.442246	12.2526
0.442233	12.3021
0.442250	12.3533
0.442230	12.3851
0.442238	12.4350
0.442213	12.4860
0.442221	12.5356
0.442193	12.5858
0.442220	12.6351
0.442210	12.6675
0.442224	12.6988
0.442222	12.7365
0.442220	12.7847
0.442203	12.8347
0.442184	12.8861
0.442196	12.9351
0.442198	12.9682
0.442193	13.0001
0.442205	13.0525
0.442193	13.1024

Mean Power (dBm):	-3.5420
Mean Power (mW):	0.442380
