Power (mW)	Time (sek)
1.159584	0.0855
1.159549	0.1154
1.159491	0.1462
1.159520	0.1734
1.159504	0.2193
1.159558	0.2644
1.159520	0.3219
1.159571	0.3699
1.159555	0.4162
1.159561	0.4498
1.159539	0.5036
1.159629	0.5508
1.159603	0.5977
1.159530	0.6514
1.159635	0.6999
1.159520	0.7328
1.159568	0.7634
1.159674	0.8034
1.159680	0.8497
1.159661	0.9005
1.159712	0.9504
1.159626	0.9989
1.159719	1.0323
1.159635	1.0554
1.159661	1.0974
1.159626	1.1514
1.159690	1.2014
1.159744	1.2424
1.159648	1.2996
1.159613	1.3350
1.159748	1.3653
1.159651	1.4188
1.159761	1.4694
1.159680	1.5152
1.159654	1.5643
1.159780	1.6194
1.159674	1.6491
1.159802	1.7031
1.159690	1.7489
1.159773	1.7993
1.159719	1.8509
1.159757	1.8991
1.159681	1.9313
1.159786	1.9657
1.159732	2.0149
1.159722	2.0679
1.159825	2.1140
1.159793	2.1651
1.159831	2.2202
1.159899	2.2476
1.159777	2.3021
1.159828	2.3494
1.159728	2.3982
1.159780	2.4491
1.159715	2.4985
1.159732	2.5311
1.159706	2.5651
1.159719	2.6155
1.160110	2.6678
1.156514	2.7216
1.150967	2.7693
1.147403	2.8210
1.147303	2.8509
1.149179	2.8961
1.158334	2.9438
1.147370	2.9999
1.171650	3.0482
1.165650	3.0953
1.158624	3.1340
1.158167	3.1627
1.158116	3.2032
1.158071	3.2504
1.156928	3.2995
1.156825	3.3463
1.157493	3.3995
1.158286	3.4295
1.158261	3.4648
1.157850	3.5200
1.156979	3.5649
1.156813	3.6141
1.157577	3.6638
1.158126	3.7223
1.158184	3.7470
1.157859	3.8011
1.157314	3.8505
1.157124	3.9016
1.157535	3.9512
1.157882	3.9978
1.157763	4.0248
1.157538	4.0622
1.157500	4.1030
1.157291	4.1465
1.157535	4.1993
1.157654	4.2492
1.157741	4.2968
1.157567	4.3276
1.157406	4.3640
1.157301	4.4023
1.157451	4.4512
1.157577	4.5042
1.157786	4.5511
1.157686	4.5976
1.157467	4.6282
1.157423	4.6619
1.157477	4.7043
1.157554	4.7472
1.157679	4.8013
1.157615	4.8477
1.157599	4.9044
1.157490	4.9351
1.157657	4.9661
1.157721	5.0205
1.157731	5.0696
1.157554	5.1193
1.157513	5.1707
1.157577	5.2193
1.157593	5.2502
1.157641	5.3026
1.157618	5.3517
1.157664	5.3992
1.157654	5.4497
1.157689	5.5039
1.157586	5.5336
1.157561	5.5622
1.157657	5.6203
1.157570	5.6654
1.157603	5.7139
1.157535	5.7663
1.157471	5.8183
1.157525	5.8499
1.157477	5.9016
1.157519	5.9449
1.157371	5.9990
1.157458	6.0507
1.157525	6.1023
1.157561	6.1325
1.157490	6.1685
1.157580	6.2177
1.157631	6.2675
1.157554	6.3179
1.157583	6.3652
1.157683	6.4121
1.157583	6.4451
1.157580	6.5027
1.157551	6.5459
1.157670	6.5996
1.157660	6.6460
1.157622	6.7024
1.157650	6.7355
1.157728	6.7659
1.157683	6.8195
1.157638	6.8670
1.157628	6.9127
1.157622	6.9696
1.157724	7.0200
1.157673	7.0504
1.157641	7.1042
1.157638	7.1519
1.157705	7.2008
1.157634	7.2512
1.157683	7.3035
1.157734	7.3318
1.157718	7.3629
1.157683	7.4041
1.157763	7.4508
1.157667	7.4991
1.157708	7.5443
1.157660	7.5995
1.157705	7.6330
1.157631	7.6646
1.157711	7.7159
1.157650	7.7654
1.157754	7.8155
1.157638	7.8626
1.157580	7.9220
1.157728	7.9537
1.157631	8.0006
1.157532	8.0486
1.157702	8.1011
1.157638	8.1497
1.157734	8.2016
1.157670	8.2334
1.157637	8.2644
1.157750	8.3064
1.157728	8.3518
1.157718	8.3945
1.157737	8.4520
1.157744	8.5041
1.157782	8.5316
1.157763	8.5610
1.157689	8.6184
1.157737	8.6700
1.157734	8.7179
1.157702	8.7652
1.157618	8.8179
1.157673	8.8528
1.157654	8.9035
1.157654	8.9482
1.157641	9.0000
1.157535	9.0456
1.157593	9.1033
1.157567	9.1316
1.157596	9.1652
1.157708	9.2194
1.157708	9.2658
1.157747	9.3209
1.157676	9.3706
1.157824	9.4159
1.157728	9.4516
1.157811	9.5021
1.157686	9.5509
1.157744	9.6011
1.157708	9.6493
1.157728	9.7000
1.157711	9.7358
1.157654	9.7630
1.157766	9.8200
1.158126	9.8678
1.158010	9.9222
1.158139	9.9703
1.158177	10.0162
1.158216	10.0506
1.158197	10.1040
1.158181	10.1507
1.158168	10.1997
1.158284	10.2519
1.158180	10.3042
1.158219	10.3353
1.157728	10.3630
1.157705	10.4200
1.157818	10.4643
1.157830	10.5167
1.157763	10.5645
1.157763	10.6207
1.157689	10.6519
1.157686	10.7038
1.157660	10.7485
1.157805	10.8012
1.157747	10.8458
1.157731	10.9030
1.157756	10.9301
1.157801	10.9645
1.157891	11.0201
1.157872	11.0679
1.157888	11.1203
1.157962	11.1700
1.157946	11.2232
1.157891	11.2541
1.157830	11.3050
1.157901	11.3504
1.157962	11.4001
1.157872	11.4479
1.157911	11.4963
1.157914	11.5351
1.157924	11.5650
1.157892	11.6206
1.157879	11.6650
1.157818	11.7224
1.157933	11.7694
1.157908	11.8206
1.157891	11.8482
1.157843	11.9018
1.157879	11.9575
1.157840	12.0056
1.157840	12.0502
1.157917	12.0972
1.157914	12.1264
1.157856	12.1660
1.157930	12.2162
1.157908	12.2643
1.157971	12.3224
1.158042	12.3661
1.158026	12.4156
1.158042	12.4475
1.158004	12.5038
1.158074	12.5507
1.158026	12.5953
1.158030	12.6470
1.158045	12.6962
1.158071	12.7366
1.158052	12.7631
1.158062	12.8178
1.158023	12.8693
1.157888	12.9179
1.157943	12.9712
1.157943	13.0211
1.157943	13.0527
1.157891	13.1036
1.158113	13.1517
1.158001	13.2008
1.158052	13.2488
1.158026	13.3042
1.157933	13.3352
1.157971	13.3658
1.157991	13.4146
1.158052	13.4699
1.158007	13.5177
1.158033	13.5669
1.158029	13.6179
1.158071	13.6491

Mean Power (dBm):	0.6373
Mean Power (mW):	1.158047
