Power (mW)	Time (sek)
1.174942	0.0894
1.175263	0.1033
1.175102	0.1180
1.175263	0.1328
1.175263	0.1471
1.174781	0.1608
1.175423	0.1920
1.174942	0.2030
1.175102	0.2433
1.174781	0.2579
1.174942	0.2697
1.175102	0.2871
1.175263	0.2979
1.174942	0.3139
1.175423	0.3381
1.175584	0.3571
1.174942	0.3905
1.175423	0.4029
1.175423	0.4438
1.174460	0.4550
1.174460	0.4894
1.175423	0.5024
1.175102	0.5335
1.175423	0.5538
1.175744	0.5672
1.175102	0.5821
1.175102	0.5954
1.174620	0.6088
1.175102	0.6443
1.174942	0.6584
1.174781	0.6872
1.174942	0.7053
1.175263	0.7339
1.174942	0.7537
1.175263	0.7920
1.174781	0.8034
1.175263	0.8441
1.175423	0.8548
1.175263	0.8730
1.174942	0.8868
1.175102	0.9012
1.174942	0.9157
1.174781	0.9428
1.174942	0.9558
1.175263	0.9920
1.174942	1.0055
1.175102	1.0380
1.175423	1.0564
1.175102	1.0922
1.175584	1.1047
1.175263	1.1388
1.174781	1.1575
1.175263	1.1711
1.174460	1.1826
1.174942	1.2002
1.175102	1.2144
1.175584	1.2450
1.175263	1.2600
1.174620	1.2910
1.175263	1.3035
1.174781	1.3429
1.174460	1.3570
1.175423	1.3925
1.175584	1.4042
1.174942	1.4448
1.175102	1.4599
1.175102	1.4706
1.175263	1.4857
1.175423	1.5031
1.175102	1.5412
1.174781	1.5548
1.175423	1.5916
1.175423	1.6033
1.174942	1.6406
1.175263	1.6598
1.174942	1.6878
1.174460	1.7067
1.175102	1.7424
1.175263	1.7548
1.174942	1.7679
1.175584	1.7861
1.175263	1.7972
1.174942	1.8120
1.175102	1.8446
1.174942	1.8584
1.184576	1.8856
1.182970	1.9064
1.191963	1.9428
1.190999	1.9541
1.190839	1.9867
1.191641	2.0081
1.192123	2.0444
1.191641	2.0598
1.191641	2.0736
1.192123	2.0883
1.191963	2.1020
1.192605	2.1402
1.192444	2.1554
1.192284	2.1904
1.191641	2.2065
1.191481	2.2443
1.191320	2.2593
1.184255	2.2928
1.179759	2.3041
1.178635	2.3428
1.178795	2.3541
1.180080	2.3728
1.179759	2.3873
1.179277	2.4014
1.179598	2.4161
1.179759	2.4442
1.179438	2.4596
1.179759	2.4917
1.179598	2.5041
1.179117	2.5441
1.179438	2.5557
1.178795	2.5934
1.179117	2.6083
1.179277	2.6443
1.178635	2.6593
1.178795	2.6756
1.179277	2.6871
1.178474	2.7032
1.178795	2.7426
1.178635	2.7572
1.178635	2.7948
1.178474	2.8093
1.177992	2.8442
1.178635	2.8587
1.178314	2.8921
1.177992	2.9079
1.178153	2.9376
1.178153	2.9538
1.177992	2.9680
1.178314	2.9821
1.178474	2.9978
1.178314	3.0127
1.178153	3.0452
1.177350	3.0566
1.177832	3.0918
1.177671	3.1070
1.177832	3.1407
1.177832	3.1551
1.177992	3.1918
1.177992	3.2051
1.178153	3.2439
1.177992	3.2588
1.178153	3.2761
1.178314	3.2897
1.177992	3.3037
1.178314	3.3444
1.177832	3.3580
1.177671	3.3920
1.177671	3.4078
1.177832	3.4438
1.178474	3.4567
1.177832	3.4926
1.177992	3.5036
1.178314	3.5429
1.177832	3.5542
1.177832	3.5731
1.178314	3.5838
1.177992	3.6003
1.178153	3.6127
1.177350	3.6414
1.177511	3.6598
1.177671	3.6875
1.177511	3.7081
1.177511	3.7416
1.177992	3.7567
1.177832	3.7924
1.177511	3.8111
1.177511	3.8456
1.177832	3.8586
1.177671	3.8727
1.177832	3.8894
1.177671	3.9031
1.177350	3.9161
1.178474	3.9368
1.177671	3.9579
1.177511	3.9929
1.177511	4.0044
1.177511	4.0439
1.177511	4.0581
1.177190	4.0892
1.177671	4.1061
1.177511	4.1422
1.177029	4.1564
1.177511	4.1683
1.176868	4.1862
1.177511	4.1970
1.177832	4.2145
1.177671	4.2449
1.177511	4.2597
1.177832	4.2936
