Power (mW)	Time (sek)
1.158659	0.1096
1.158646	0.1423
1.158848	0.1828
1.158701	0.2179
1.158627	0.2488
1.158611	0.3017
1.158720	0.3526
1.158598	0.4057
1.158698	0.4504
1.158646	0.5010
1.158672	0.5336
1.158572	0.5879
1.158681	0.6334
1.158675	0.6855
1.158662	0.7331
1.158608	0.7871
1.158672	0.8140
1.158634	0.8437
1.158771	0.8994
1.158649	0.9530
1.158534	0.9956
1.158656	1.0518
1.158684	1.1039
1.158637	1.1352
1.158649	1.1877
1.158666	1.2351
1.158640	1.2840
1.158691	1.3356
1.158688	1.3860
1.158723	1.4116
1.158604	1.4487
1.158640	1.4833
1.158685	1.5346
1.158608	1.5860
1.158681	1.6346
1.158681	1.6776
1.158681	1.7146
1.158662	1.7468
1.158707	1.7878
1.158784	1.8354
1.158752	1.8837
1.158656	1.9351
1.158675	1.9860
1.158749	2.0175
1.158707	2.0489
1.158688	2.0872
1.158666	2.1305
1.158745	2.1860
1.158881	2.2355
1.158746	2.2833
1.158797	2.3144
1.158803	2.3449
1.158746	2.3825
1.158672	2.4339
1.158733	2.4842
1.158739	2.5353
1.158803	2.5876
1.158775	2.6179
1.158807	2.6440
1.158778	2.7044
1.158762	2.7540
1.158662	2.8055
1.158803	2.8492
1.158755	2.9038
1.158739	2.9336
1.158633	2.9875
1.158752	3.0345
1.158723	3.0849
1.158691	3.1311
1.158714	3.1872
1.158643	3.2179
1.158726	3.2477
1.158778	3.3006
1.158788	3.3537
1.158691	3.4050
1.158684	3.4499
1.158746	3.5031
1.158746	3.5331
1.158855	3.5830
1.158646	3.6314
1.158746	3.6840
1.158688	3.7329
1.158726	3.7874
1.158836	3.8191
1.158733	3.8501
1.158742	3.9009
1.158813	3.9537
1.158813	4.0049
1.158845	4.0501
1.158839	4.1019
1.158714	4.1348
1.158736	4.1874
1.158820	4.2338
1.158781	4.2753
1.158768	4.3325
1.158803	4.3837
1.158788	4.4180
1.158742	4.4477
1.158771	4.4801
1.158784	4.5338
1.158807	4.5855
1.158874	4.6361
1.158829	4.6853
1.158749	4.7183
1.158858	4.7528
1.158868	4.7978
1.158784	4.8531
1.158829	4.9031
1.158916	4.9530
1.158765	5.0018
1.158714	5.0341
1.158800	5.0854
1.158804	5.1344
1.158745	5.1816
1.158726	5.2351
1.158540	5.2826
1.158710	5.3154
1.158707	5.3425
1.158711	5.3833
1.158736	5.4345
1.158755	5.4849
1.158698	5.5319
1.158694	5.5872
1.158614	5.6147
1.158630	5.6466
1.158781	5.6825
1.158627	5.7337
1.158649	5.7835
1.158656	5.8302
1.158755	5.8780
1.158598	5.9130
1.158572	5.9407
1.158617	5.9855
1.158636	6.0331
1.158675	6.0851
1.158823	6.1345
1.158640	6.1857
1.158730	6.2124
1.158591	6.2469
1.158717	6.3023
1.158665	6.3478
1.158653	6.4042
1.158698	6.4518
1.158704	6.5029
1.158707	6.5323
1.158791	6.5845
1.158771	6.6333
1.158730	6.6847
1.158759	6.7328
1.158646	6.7876
1.158611	6.8180
1.158637	6.8483
1.158813	6.8978
1.158723	6.9467
1.158800	7.0051
1.158803	7.0512
1.158669	7.1015
1.158749	7.1318
1.158736	7.1836
1.158774	7.2341
1.158720	7.2787
1.158739	7.3351
1.158739	7.3857
1.158874	7.4169
1.158852	7.4450
1.158861	7.5027
1.158861	7.5511
1.158704	7.6019
1.158749	7.6520
1.158813	7.7028
1.158903	7.7338
1.158848	7.7881
1.158839	7.8342
1.158765	7.8845
1.158678	7.9332
1.158749	7.9818
1.158919	8.0137
1.158877	8.0480
1.158768	8.0808
1.158858	8.1342
1.158878	8.1800
1.158765	8.2302
1.158787	8.2822
1.158835	8.3085
1.158775	8.3455
1.158730	8.3875
1.158871	8.4305
1.158784	8.4849
1.158723	8.5331
1.158771	8.5852
1.158659	8.6384
1.158710	8.6843
1.158710	8.7332
1.158736	8.7809
1.158746	8.8352
1.158736	8.8840
1.158749	8.9148
1.158730	8.9428
1.158762	8.9830
1.158855	9.0319
1.158678	9.0836
1.158736	9.1341
1.158787	9.1842
1.158775	9.2152
1.158723	9.2476
1.158723	9.2848
1.158794	9.3355
1.158800	9.3841
1.158826	9.4343
1.158726	9.4854
1.158839	9.5166
1.158800	9.5463
1.158714	9.5899
1.158720	9.6335
1.158723	9.6855
1.158742	9.7339
1.158704	9.7832
1.158916	9.8129
1.158752	9.8484
1.158762	9.9036
1.158800	9.9516
1.158771	10.0049
1.158916	10.0533
1.158739	10.1110
1.158845	10.1457
1.158800	10.1890
1.158797	10.2503
1.158864	10.3000
