Power (mW)	Time (sek)
1.224078	0.0662
1.224239	0.0771
1.223917	0.0922
1.223596	0.1089
1.224239	0.1199
1.224720	0.1348
1.223757	0.1500
1.224078	0.1920
1.224078	0.2056
1.224078	0.2340
1.223596	0.2523
1.223917	0.2831
1.223275	0.3018
1.224078	0.3390
1.223917	0.3535
1.224239	0.3685
1.224720	0.3842
1.224078	0.3993
1.223917	0.4129
1.223917	0.4407
1.224239	0.4541
1.224239	0.4903
1.224078	0.5046
1.224399	0.5393
1.224239	0.5522
1.224078	0.5930
1.223917	0.6041
1.224399	0.6376
1.224560	0.6545
1.224239	0.6649
1.224399	0.6829
1.224078	0.6936
1.223917	0.7078
1.224399	0.7408
1.224078	0.7512
1.224399	0.7931
1.223917	0.8037
1.225041	0.8386
1.224720	0.8550
1.224399	0.8905
1.224399	0.9014
1.224399	0.9371
1.224239	0.9517
1.224239	0.9661
1.224078	0.9846
1.224560	0.9992
1.224239	1.0392
1.224399	1.0552
1.224239	1.0933
1.224399	1.1082
1.224399	1.1359
1.223917	1.1584
1.224078	1.1900
1.224399	1.2040
1.224239	1.2314
1.223917	1.2542
1.223917	1.2695
1.223757	1.2825
1.224560	1.2944
1.224560	1.3114
1.224078	1.3412
1.223757	1.3537
1.224239	1.3934
1.223596	1.4045
1.224560	1.4350
1.224239	1.4513
1.224399	1.4872
1.224399	1.5036
1.223436	1.5355
1.224720	1.5551
1.224239	1.5683
1.224078	1.5848
1.224239	1.5992
1.224078	1.6124
1.224399	1.6342
1.225041	1.6545
1.223917	1.6892
1.224720	1.7051
1.223917	1.7361
1.223275	1.7536
1.224078	1.7917
1.224239	1.8062
1.223757	1.8397
1.223757	1.8511
1.223757	1.8707
1.224239	1.8856
1.224239	1.9018
1.224078	1.9394
1.224560	1.9522
1.223917	1.9858
1.223917	2.0029
1.223917	2.0315
1.224078	2.0556
1.224239	2.0867
1.223757	2.1044
1.223917	2.1409
1.224078	2.1534
1.224078	2.1706
1.223757	2.1842
1.223757	2.2005
1.224239	2.2360
1.223596	2.2515
1.224239	2.2847
1.224078	2.3051
1.224399	2.3371
1.223917	2.3558
1.224720	2.3918
1.224078	2.4054
1.224239	2.4409
1.224560	2.4538
1.223596	2.4688
1.223917	2.4845
1.224239	2.4982
1.223757	2.5144
1.223917	2.5384
