Power (mW)	Time (sek)
0.440699	0.1077
0.440690	0.1381
0.440674	0.1746
0.440683	0.2049
0.440719	0.2366
0.440699	0.2736
0.440691	0.3259
0.440679	0.3737
0.440675	0.4244
0.440682	0.4740
0.440685	0.5038
0.440683	0.5350
0.440692	0.5749
0.440717	0.6234
0.440720	0.6735
0.440723	0.7260
0.440711	0.7755
0.440693	0.8059
0.440694	0.8367
0.440689	0.8739
0.440682	0.9234
0.440706	0.9735
0.440693	1.0246
0.440680	1.0747
0.440689	1.1056
0.440693	1.1361
0.440691	1.1736
0.440713	1.2234
0.440685	1.2736
0.440684	1.3247
0.440675	1.3740
0.440689	1.4044
0.440682	1.4348
0.440681	1.4739
0.440684	1.5254
0.440679	1.5736
0.440688	1.6243
0.440684	1.6738
0.440704	1.7037
0.440685	1.7340
0.440694	1.7754
0.440689	1.8235
0.440678	1.8743
0.440686	1.9266
0.440677	1.9739
0.440680	2.0045
0.440686	2.0351
0.440690	2.0740
0.440681	2.1238
0.440688	2.1735
0.440682	2.2244
0.440687	2.2741
0.440684	2.3050
0.440688	2.3359
0.440685	2.3737
0.440685	2.4235
0.440681	2.4734
0.440685	2.5243
0.440673	2.5740
0.440675	2.6053
0.440681	2.6360
0.440688	2.6739
0.440678	2.7258
0.440687	2.7752
0.440684	2.8246
0.440688	2.8740
0.440675	2.9044
0.440669	2.9356
0.440679	2.9734
0.440676	3.0237
0.440661	3.0735
0.440725	3.1262
0.440688	3.1741
0.440668	3.2048
0.440672	3.2354
0.440672	3.2740
0.440669	3.3235
0.440680	3.3780
0.440738	3.4374
0.440743	3.4738
0.440700	3.5043
0.440679	3.5348
0.440683	3.5753
0.440680	3.6235
0.440680	3.6739
0.440677	3.7245
0.440676	3.7758
0.440672	3.8066
0.440679	3.8375
0.440668	3.8748
0.440671	3.9254
0.440663	3.9735
0.440677	4.0291
0.440719	4.0741
0.440677	4.1043
0.440687	4.1349
0.440681	4.1737
0.440678	4.2237
0.440665	4.2738
0.440685	4.3268
0.440674	4.3740
0.440667	4.4053
0.440666	4.4363
