Power (mW)	Time (sek)
1.180755	0.1086
1.180754	0.1358
1.180873	0.1680
1.180806	0.2191
1.180770	0.2630
1.180828	0.3194
1.180783	0.3474
1.180825	0.4004
1.180931	0.4449
1.180841	0.5020
1.180722	0.5544
1.181217	0.5990
1.181265	0.6273
1.181191	0.6583
1.181214	0.7003
1.181101	0.7505
1.180831	0.8002
1.180745	0.8525
1.180841	0.9033
1.180809	0.9331
1.180799	0.9636
1.180947	1.0033
1.180937	1.0529
1.180787	1.1031
1.180802	1.1556
1.180831	1.1995
1.180815	1.2300
1.180918	1.2626
1.180947	1.3016
1.180937	1.3528
1.180786	1.4022
1.180828	1.4514
1.180674	1.5014
1.180719	1.5338
1.180745	1.5645
1.180796	1.6006
1.180738	1.6505
1.180716	1.7025
1.180745	1.7558
1.180654	1.8004
1.180819	1.8331
1.180648	1.8615
1.180722	1.9039
1.180687	1.9557
1.180738	2.0012
1.180693	2.0528
1.180729	2.0934
1.180722	2.1324
1.180745	2.1622
1.180726	2.1982
1.180700	2.2471
1.180738	2.2966
1.180709	2.3557
1.180703	2.3956
1.180709	2.4328
1.180684	2.4630
1.180806	2.5030
1.180780	2.5554
1.180693	2.5969
1.180629	2.6532
1.180928	2.7027
1.180889	2.7323
1.180783	2.7623
1.180581	2.8023
1.180655	2.8480
1.180616	2.8943
1.180603	2.9553
1.180635	2.9948
1.180645	3.0339
1.180687	3.0614
1.180796	3.0972
1.180873	3.1552
1.180873	3.1939
1.180780	3.2523
1.180838	3.2983
1.180777	3.3292
1.180748	3.3592
1.180773	3.4006
1.180639	3.4485
1.180722	3.4963
1.180886	3.5548
1.180738	3.6001
1.180848	3.6315
1.180716	3.6637
1.180767	3.7019
1.180758	3.7553
1.180732	3.8015
1.180857	3.8528
1.180793	3.9028
1.180748	3.9341
1.180764	3.9611
1.180767	4.0028
1.180754	4.0549
1.180738	4.0977
1.180796	4.1553
1.180761	4.2005
1.180635	4.2311
1.180712	4.2611
1.180738	4.3028
1.180632	4.3559
1.180668	4.4033
1.180677	4.4532
1.180658	4.5029
1.180668	4.5322
1.180722	4.5578
1.180864	4.6028
1.180848	4.6509
1.180651	4.7002
1.180638	4.7547
1.180722	4.8028
1.180748	4.8317
1.180780	4.8659
1.180848	4.9027
1.180944	4.9557
1.180947	5.0028
1.180790	5.0529
1.180867	5.1024
1.180819	5.1353
1.180844	5.1657
1.180892	5.2028
1.180848	5.2485
1.180886	5.3029
1.180819	5.3551
1.180883	5.4040
1.181014	5.4353
1.181072	5.4646
1.180908	5.5038
1.180796	5.5557
1.180690	5.6038
1.180841	5.6528
1.180860	5.7037
1.180253	5.7328
1.179945	5.7657
1.180379	5.8037
1.180667	5.8537
1.180613	5.9038
1.180642	5.9556
1.180757	6.0039
1.180693	6.0310
1.180889	6.0605
1.180957	6.1037
1.180812	6.1539
1.180867	6.2029
1.180732	6.2533
1.180847	6.3033
1.180831	6.3328
1.180751	6.3609
1.180783	6.4040
1.180777	6.4540
1.180822	6.5039
1.180748	6.5535
1.180802	6.6037
1.180757	6.6339
1.180767	6.6653
1.180828	6.7037
1.180706	6.7536
1.180674	6.8033
1.180693	6.8536
1.180806	6.9035
1.180751	6.9244
1.180831	6.9626
1.180693	7.0036
1.180697	7.0537
1.180687	7.1024
1.180696	7.1536
1.180568	7.2024
1.180314	7.2275
1.180096	7.2622
1.180218	7.3024
1.180459	7.3549
1.180629	7.4023
1.180610	7.4523
1.180648	7.5033
1.180642	7.5241
1.180616	7.5630
1.180626	7.6031
1.180825	7.6535
1.180626	7.7025
1.180642	7.7553
1.180706	7.8035
1.180873	7.8310
1.180889	7.8637
1.180786	7.9038
1.180860	7.9540
1.180799	8.0035
1.180818	8.0539
1.180587	8.1023
1.180594	8.1309
1.180725	8.1646
1.180703	8.2091
1.180632	8.2716
1.180741	8.3183
1.180706	8.3717
1.180684	8.4215
1.180674	8.4523
