Power (mW)	Time (sek)
1.187476	0.0816
1.187563	0.1098
1.187473	0.1392
1.187489	0.1937
1.187495	0.2426
1.187544	0.2945
1.187437	0.3453
1.187479	0.3935
1.187695	0.4199
1.187437	0.4526
1.187518	0.4895
1.187412	0.5439
1.187438	0.5922
1.187524	0.6428
1.187537	0.6914
1.187518	0.7224
1.187508	0.7526
1.187515	0.7897
1.187608	0.8428
1.187566	0.8918
1.187518	0.9436
1.187556	0.9949
1.187483	1.0260
1.187486	1.0555
1.187569	1.0900
1.187530	1.1449
1.187521	1.1896
1.187569	1.2477
1.187598	1.2934
1.187495	1.3197
1.187563	1.3527
1.187502	1.3982
1.187576	1.4416
1.187653	1.4963
1.187543	1.5460
1.187608	1.5939
1.187595	1.6226
1.187592	1.6553
1.187563	1.6965
1.187502	1.7395
1.187495	1.7954
1.187604	1.8396
1.187569	1.8951
1.187553	1.9254
1.187521	1.9550
1.187508	1.9939
1.187556	2.0466
1.187476	2.0957
1.187496	2.1445
1.187482	2.1961
1.187839	2.2236
1.185687	2.2606
1.178969	2.3125
1.175340	2.3641
1.178648	2.4086
1.207475	2.4654
1.166363	2.5086
1.203498	2.5444
1.175163	2.5866
1.185215	2.6389
1.185549	2.6898
1.186182	2.7450
1.185045	2.7942
1.184637	2.8264
1.184727	2.8529
1.185084	2.8940
1.185630	2.9356
1.186118	2.9946
1.185681	3.0472
1.184743	3.0943
1.184361	3.1255
1.184563	3.1565
1.184936	3.1958
1.185710	3.2457
1.185845	3.2943
1.185453	3.3445
1.184971	3.3935
1.184919	3.4262
1.185058	3.4538
1.185379	3.5129
1.185331	3.5579
1.185157	3.6099
1.184968	3.6636
1.185151	3.7123
1.185347	3.7449
1.185437	3.7945
1.185357	3.8458
1.185051	3.8942
1.185045	3.9372
1.185109	3.9936
1.185289	4.0237
1.185411	4.0553
1.185405	4.0968
1.185222	4.1442
1.185234	4.1899
1.185151	4.2465
1.185238	4.2896
1.185289	4.3251
1.185212	4.3581
1.185148	4.3969
1.185029	4.4464
1.185106	4.4936
1.185334	4.5449
1.185302	4.5940
1.185273	4.6251
1.185093	4.6572
1.185158	4.6951
1.185154	4.7447
1.185209	4.7929
1.185234	4.8466
1.185296	4.8949
1.185144	4.9260
1.185119	4.9548
1.185154	4.9969
1.185202	5.0462
1.185289	5.0886
1.185203	5.1379
1.185148	5.1942
1.185370	5.2204
1.185241	5.2564
1.185173	5.2963
1.185145	5.3445
1.185151	5.3942
1.185177	5.4455
1.185058	5.4943
1.185209	5.5194
1.185205	5.5531
1.185116	5.6110
1.185128	5.6619
1.185196	5.7108
1.185286	5.7622
1.185225	5.8126
1.185350	5.8399
1.185260	5.8948
1.185231	5.9440
1.185186	5.9941
1.185241	6.0455
1.185334	6.0896
