Power (mW)	Time (sek)
1.177832	0.0974
1.177671	0.1090
1.177671	0.1234
1.178153	0.1357
1.177992	0.1530
1.177992	0.1873
1.178153	0.1987
1.178153	0.2147
1.178153	0.2285
1.178153	0.2425
1.177832	0.2575
1.177992	0.2901
1.177511	0.3008
1.177992	0.3344
1.178314	0.3491
1.177992	0.3824
1.178153	0.3998
1.177992	0.4362
1.178474	0.4524
1.177992	0.4826
1.177992	0.5024
1.177992	0.5175
1.178153	0.5300
1.177992	0.5463
1.177992	0.5603
1.177832	0.5883
1.178153	0.6012
1.178795	0.6347
1.177992	0.6500
1.177992	0.6865
1.177992	0.7005
1.178474	0.7316
1.177992	0.7517
1.178153	0.7859
1.178314	0.7985
1.178474	0.8153
1.178153	0.8294
1.178153	0.8453
1.177832	0.8598
1.178314	0.8893
1.178635	0.9030
1.178635	0.9326
1.177992	0.9508
1.178153	0.9809
1.177832	1.0017
1.178474	1.0356
1.178153	1.0515
1.178474	1.0834
1.178314	1.1042
1.177832	1.1173
1.178153	1.1335
1.178314	1.1491
1.177671	1.1832
1.177511	1.2002
1.178474	1.2367
1.178635	1.2519
1.178314	1.2890
1.178474	1.3057
1.178474	1.3358
1.178474	1.3520
1.177992	1.3861
1.177671	1.3999
1.177671	1.4169
1.178795	1.4322
1.178474	1.4477
1.178153	1.4863
1.178153	1.4988
1.178474	1.5365
1.177832	1.5525
1.178314	1.5848
1.178153	1.6006
1.177992	1.6357
1.178153	1.6515
1.177992	1.6866
1.178153	1.7042
1.178153	1.7168
1.178153	1.7344
1.178153	1.7503
1.177671	1.7865
1.178153	1.7997
1.177671	1.8379
1.178474	1.8487
1.177511	1.8837
1.177992	1.9043
1.177992	1.9378
1.177992	1.9507
1.177671	1.9852
1.178153	1.9992
1.178314	2.0154
1.178153	2.0298
1.178153	2.0459
1.177992	2.0574
1.177832	2.0860
1.178314	2.1030
1.178153	2.1339
1.178153	2.1483
1.178314	2.1843
1.179759	2.2020
1.183452	2.2354
1.183773	2.2484
1.188109	2.2894
1.187948	2.3009
1.189554	2.3172
1.189875	2.3324
1.189554	2.3476
1.189875	2.3807
1.190517	2.3988
1.190357	2.4341
1.190196	2.4509
1.190196	2.4882
1.189715	2.5036
1.190196	2.5391
1.189875	2.5500
1.189715	2.5863
1.189715	2.6028
1.190196	2.6186
1.190517	2.6317
1.190357	2.6475
1.190357	2.6873
1.190196	2.7030
1.188751	2.7373
1.189715	2.7505
1.183613	2.7888
1.184094	2.8026
1.183773	2.8361
1.183934	2.8500
1.183613	2.8902
1.182489	2.9028
1.182970	2.9171
1.182810	2.9317
1.182810	2.9430
1.182649	2.9587
1.181686	2.9883
1.182810	3.0019
1.182328	3.0314
1.182007	3.0519
1.182649	3.0874
1.181525	3.1053
1.181846	3.1374
1.182007	3.1500
1.182167	3.1896
1.182489	3.2043
1.182328	3.2153
1.182328	3.2311
1.181846	3.2467
1.182007	3.2612
1.181686	3.2917
1.181846	3.3034
1.182007	3.3388
1.181846	3.3531
1.181686	3.3868
1.182007	3.4044
1.181846	3.4380
1.182167	3.4501
1.182007	3.4859
1.181204	3.5060
1.181846	3.5173
1.181846	3.5334
1.181846	3.5483
1.181846	3.5840
1.181686	3.5982
1.182328	3.6346
1.181365	3.6533
1.181525	3.6873
1.181525	3.7047
1.182007	3.7373
1.181686	3.7523
1.181686	3.7874
1.182167	3.8043
1.181525	3.8159
1.181525	3.8304
1.181686	3.8463
1.181846	3.8843
1.181846	3.9040
1.181686	3.9331
1.181365	3.9536
1.181686	3.9878
1.181525	4.0029
1.181365	4.0380
1.181525	4.0530
1.181365	4.0888
1.181525	4.1041
1.181686	4.1203
1.181204	4.1344
1.181846	4.1491
1.181204	4.1873
1.181846	4.2018
1.181686	4.2385
1.181846	4.2496
1.181043	4.2895
