Power (mW)	Time (sek)
1.158668	0.1026
1.158730	0.1373
1.158646	0.1855
1.158710	0.2354
1.158627	0.2689
1.158540	0.2967
1.158752	0.3369
1.158714	0.3863
1.158643	0.4378
1.158682	0.4842
1.158640	0.5337
1.158704	0.5660
1.158633	0.5892
1.158669	0.6342
1.158672	0.6865
1.158559	0.7366
1.158717	0.7863
1.158621	0.8390
1.158678	0.8670
1.158669	0.8963
1.158678	0.9344
1.158646	0.9839
1.158649	1.0374
1.158633	1.0838
1.158698	1.1341
1.158633	1.1671
1.158547	1.1975
1.158710	1.2361
1.158743	1.2839
1.158727	1.3338
1.158704	1.3834
1.158640	1.4372
1.158669	1.4685
1.158778	1.4986
1.158788	1.5335
1.158791	1.5833
1.158774	1.6376
1.158868	1.6834
1.158797	1.7333
1.158842	1.7664
1.158778	1.7922
1.158913	1.8328
1.158784	1.8851
1.158845	1.9368
1.158849	1.9864
1.158768	2.0341
1.158723	2.0680
1.158868	2.0987
1.158848	2.1379
1.158839	2.1857
1.158685	2.2366
1.158743	2.2867
1.158726	2.3368
1.158659	2.3669
1.158566	2.3960
1.158659	2.4370
1.158592	2.4870
1.158640	2.5372
1.158582	2.5858
1.158637	2.6379
1.158576	2.6688
1.158598	2.7027
1.158595	2.7557
1.158614	2.8048
1.158608	2.8562
1.158595	2.9047
1.158598	2.9530
1.158691	2.9825
1.158604	3.0354
1.158634	3.0868
1.158646	3.1360
1.158563	3.1855
1.158611	3.2360
1.158646	3.2684
1.158649	3.2986
1.158669	3.3369
1.158620	3.3855
1.158704	3.4379
1.158540	3.4837
1.158585	3.5360
1.158669	3.5661
1.158659	3.5928
1.158755	3.6382
1.158595	3.6857
1.158678	3.7369
1.158627	3.7866
1.158614	3.8391
1.158601	3.8680
1.158598	3.8982
1.158627	3.9359
1.158608	3.9865
1.158547	4.0383
1.158591	4.0851
1.158569	4.1377
1.158711	4.1651
1.158601	4.1969
1.158704	4.2344
1.158588	4.2839
1.158627	4.3360
1.158672	4.3860
1.158678	4.4376
1.158652	4.4676
1.158633	4.4975
1.158701	4.5372
1.158653	4.5842
1.158646	4.6351
1.158771	4.6862
1.158714	4.7365
1.158739	4.7675
1.158765	4.8007
1.158704	4.8572
1.158656	4.9016
1.158726	4.9507
1.158784	5.0014
1.158749	5.0570
1.158794	5.0875
1.158707	5.1374
1.158762	5.1844
1.158765	5.2348
1.158803	5.2861
1.158758	5.3367
1.158826	5.3658
1.158665	5.3971
1.158707	5.4395
1.158711	5.4854
1.158694	5.5360
1.158653	5.5834
1.158659	5.6390
1.158685	5.6668
1.158765	5.6944
1.158637	5.7355
1.158720	5.7871
1.158691	5.8387
1.158710	5.8868
1.158640	5.9370
1.158701	5.9646
1.158675	5.9963
1.158662	6.0357
1.158720	6.0862
1.158720	6.1338
1.158649	6.1861
1.158592	6.2337
1.158649	6.2688
1.158707	6.3009
1.158730	6.3527
1.158727	6.4051
1.158678	6.4569
1.158717	6.5020
1.158582	6.5550
1.158617	6.5837
1.158624	6.6356
1.158550	6.6873
1.158540	6.7337
1.158621	6.7830
1.158649	6.8390
1.158707	6.8699
1.158656	6.8991
