Power (mW)	Time (sek)
1.188375	0.0834
1.188407	0.1080
1.188468	0.1403
1.188456	0.1866
1.188423	0.2423
1.188321	0.2867
1.188340	0.3412
1.188327	0.3715
1.188298	0.4009
1.188439	0.4400
1.188382	0.4899
1.188388	0.5325
1.188362	0.5904
1.188391	0.6415
1.188385	0.6734
1.188385	0.7011
1.188260	0.7591
1.188558	0.8044
1.188680	0.8593
1.188687	0.9071
1.188761	0.9584
1.188767	0.9894
1.188690	1.0428
1.188664	1.0867
1.188729	1.1399
1.188664	1.1885
1.188713	1.2410
1.188706	1.2723
1.188655	1.3026
1.188815	1.3583
1.188456	1.4079
1.188314	1.4578
1.188545	1.5072
1.188276	1.5587
1.188334	1.5906
1.188369	1.6424
1.188362	1.6830
1.188392	1.7364
1.188379	1.7892
1.188552	1.8414
1.188584	1.8723
1.188449	1.9043
1.188443	1.9584
1.188414	2.0013
1.188423	2.0573
1.188356	2.1073
1.188462	2.1570
1.188414	2.1875
1.188542	2.2421
1.188410	2.2905
1.188482	2.3410
1.188391	2.3900
1.188465	2.4413
1.188372	2.4747
1.188337	2.5060
1.188488	2.5583
1.188459	2.6082
1.188407	2.6602
1.188491	2.7083
1.188475	2.7582
1.188395	2.7888
1.188391	2.8425
1.188436	2.8891
1.188453	2.9367
1.188401	2.9900
1.188439	3.0376
1.188468	3.0733
1.188501	3.1040
1.188536	3.1567
1.188545	3.2069
1.188549	3.2546
1.188478	3.3060
1.188449	3.3544
1.188526	3.3911
1.188481	3.4422
1.188555	3.4888
1.188452	3.5394
1.188529	3.5898
1.188497	3.6412
1.188411	3.6732
1.188436	3.7056
1.188424	3.7568
1.188520	3.8067
1.188362	3.8598
1.188542	3.9059
1.188430	3.9541
1.188446	3.9800
1.188446	4.0424
1.188462	4.0904
1.188395	4.1404
1.188218	4.1881
1.188308	4.2404
1.188350	4.2642
1.188391	4.2950
1.188616	4.3595
1.188603	4.4077
1.188321	4.4600
1.188440	4.5073
1.188427	4.5578
1.188526	4.5901
1.188446	4.6413
1.188481	4.6894
1.188526	4.7379
1.188549	4.7902
1.188487	4.8421
1.188494	4.8724
1.188565	4.9041
1.188530	4.9565
1.188539	5.0074
1.188507	5.0592
1.188523	5.1072
1.188558	5.1567
1.188478	5.1884
1.188578	5.2418
1.188581	5.2892
1.188552	5.3405
1.188552	5.3877
1.188433	5.4381
1.188523	5.4713
1.188510	5.5046
1.188488	5.5551
1.188443	5.6084
1.188330	5.6575
1.188443	5.7092
1.188497	5.7570
1.188465	5.7876
1.188484	5.8360
1.188427	5.8880
1.188411	5.9400
1.188430	6.0083
1.188410	6.0534
1.188350	6.0907
1.188379	6.1392
1.188375	6.1906
1.188407	6.2344
1.188468	6.2883
1.188497	6.3385
1.188542	6.3642
1.188421	6.3951
1.188439	6.4592
1.188494	6.5045
1.188401	6.5546
1.188334	6.6036
1.188366	6.6597
1.188346	6.6914
1.188372	6.7400
1.188321	6.7879
1.188353	6.8426
1.188472	6.8895
1.188401	6.9396
1.188491	6.9719
1.188510	6.9972
1.188484	7.0460
1.188549	7.0908
1.188420	7.1365
1.188494	7.1895
1.188526	7.2392
1.188568	7.2729
1.188533	7.3046
1.188565	7.3582
1.188542	7.4041
1.188488	7.4524
1.188510	7.5087
1.188478	7.5530
1.188517	7.5886
1.188552	7.6407
1.188597	7.6894
1.188562	7.7399
1.188565	7.7884
1.188555	7.8405
1.188546	7.8718
1.188536	7.9026
1.188520	7.9572
1.188507	8.0063
1.188481	8.0539
1.188488	8.1028
1.188577	8.1539
1.188517	8.1898
1.188555	8.2420
1.188533	8.2890
1.188552	8.3369
1.188568	8.3899
1.188606	8.4408
1.188623	8.4708
1.188536	8.5049
1.188648	8.5564
1.188555	8.6072
1.188539	8.6580
1.188565	8.7055
1.188693	8.7573
1.188571	8.7868
1.188610	8.8400
1.188671	8.8892
1.188780	8.9374
1.188635	8.9822
1.188571	9.0420
1.188565	9.0715
1.188594	9.0921
1.188581	9.1394
1.188558	9.1876
1.188626	9.2379
1.188594	9.2868
1.188600	9.3373
1.188523	9.3689
1.188549	9.3920
1.188648	9.4389
1.188549	9.4861
1.188683	9.5396
1.188574	9.5876
1.188526	9.6370
1.188700	9.6678
1.188613	9.7012
1.188671	9.7394
1.188571	9.7894
1.188684	9.8373
1.188706	9.8895
1.188565	9.9374
1.188619	9.9676
1.188610	9.9918
1.188613	10.0393
1.188546	10.0887
1.188664	10.1373
1.188639	10.1841
1.188558	10.2416
