Power (mW)	Time (sek)
1.224560	0.0695
1.224399	0.0802
1.224399	0.0946
1.224720	0.1110
1.224720	0.1219
1.224881	0.1389
1.224399	0.1532
1.224720	0.1674
1.223917	0.2016
1.224881	0.2155
1.224881	0.2542
1.224239	0.2694
1.224560	0.3029
1.224720	0.3143
1.224399	0.3529
1.224881	0.3646
1.224560	0.4029
1.224560	0.4171
1.225041	0.4391
1.224560	0.4598
1.224399	0.5003
1.224560	0.5145
1.225363	0.5524
1.224239	0.5656
1.224720	0.6035
1.224720	0.6184
1.225202	0.6542
1.225202	0.6747
1.225363	0.7028
1.225363	0.7170
1.225041	0.7325
1.224881	0.7450
1.225041	0.7594
1.224399	0.7741
1.224881	0.8042
1.225041	0.8165
1.224399	0.8551
1.224399	0.8689
1.225202	0.9023
1.224239	0.9161
1.224560	0.9524
1.224560	0.9645
1.223917	0.9991
1.224239	1.0132
1.224560	1.0277
1.224560	1.0421
1.224560	1.0586
1.224720	1.0737
1.224881	1.0989
1.224560	1.1140
1.225041	1.1506
1.224078	1.1666
1.225363	1.2018
1.224560	1.2168
1.225041	1.2535
1.224881	1.2656
1.224720	1.3022
1.225041	1.3165
1.224399	1.3292
1.224881	1.3460
1.224399	1.3569
1.224560	1.3993
1.225363	1.4142
1.224881	1.4520
1.224560	1.4651
1.224399	1.4990
1.224881	1.5172
1.224560	1.5512
1.224399	1.5635
1.224560	1.5975
1.224560	1.6168
1.224560	1.6324
1.224560	1.6455
1.224560	1.6635
1.224881	1.7014
1.224881	1.7150
1.224881	1.7521
1.223917	1.7672
1.224560	1.7953
1.224720	1.8153
1.224720	1.8546
1.224239	1.8654
1.224399	1.9027
1.223917	1.9171
1.224239	1.9318
1.224239	1.9478
1.224881	1.9590
1.224399	2.0012
1.224399	2.0162
1.225041	2.0512
1.224239	2.0659
1.225202	2.1030
1.224881	2.1165
1.224239	2.1528
1.225041	2.1675
1.224881	2.2021
1.224399	2.2172
1.224881	2.2323
1.224399	2.2437
1.224399	2.2582
1.224399	2.2953
1.224720	2.3157
1.224239	2.3525
1.225041	2.3649
1.224560	2.4026
1.223596	2.4186
1.224881	2.4543
1.224399	2.4705
1.224560	2.5013
1.225041	2.5172
1.224560	2.5323
1.224881	2.5434
1.224560	2.5600
1.224720	2.5720
1.224720	2.6032
1.224720	2.6179
1.224720	2.6545
1.224881	2.6693
1.224399	2.7027
1.225363	2.7140
1.224720	2.7519
1.224560	2.7658
1.224560	2.8001
1.224720	2.8154
1.224399	2.8339
1.224881	2.8488
1.224560	2.8649
1.225202	2.9022
1.224881	2.9182
1.224720	2.9526
1.224560	2.9642
1.225041	3.0024
1.224560	3.0153
1.224239	3.0523
1.224881	3.0704
1.224720	3.1022
1.224881	3.1152
1.224720	3.1319
1.224881	3.1459
1.224560	3.1577
1.224399	3.1979
1.224560	3.2164
1.224399	3.2551
1.224720	3.2684
1.225041	3.3014
1.225202	3.3181
1.224560	3.3458
1.224399	3.3679
1.225363	3.4019
1.224560	3.4157
1.225041	3.4314
1.225202	3.4464
1.225202	3.4603
1.225041	3.5005
1.224560	3.5140
1.224399	3.5527
1.224560	3.5672
1.225202	3.6019
1.224881	3.6155
1.224720	3.6541
1.225202	3.6702
1.224720	3.7023
1.225041	3.7198
1.224560	3.7346
1.225202	3.7477
1.224881	3.7623
1.224720	3.8023
1.224560	3.8203
1.225041	3.8558
1.225041	3.8699
1.224881	3.9021
1.225041	3.9178
1.225041	3.9518
1.225202	3.9637
1.224560	3.9951
1.224881	4.0176
1.224881	4.0312
1.224881	4.0445
1.224720	4.0621
1.224720	4.0954
1.224720	4.1164
1.225041	4.1535
1.225202	4.1672
1.225041	4.1988
1.224881	4.2142
1.225041	4.2499
1.225202	4.2694
1.224881	4.3014
1.224720	4.3181
1.224560	4.3315
1.225202	4.3451
1.225041	4.3619
1.225202	4.4007
1.225202	4.4140
1.225363	4.4537
1.225363	4.4681
1.225523	4.4930
1.224720	4.5155
1.225041	4.5528
1.225041	4.5675
1.225202	4.6022
1.224560	4.6168
1.225523	4.6335
1.225202	4.6446
1.225363	4.6622
1.225202	4.6975
1.225041	4.7152
1.224239	4.7508
1.225041	4.7658
1.225363	4.8008
1.224881	4.8159
1.225684	4.8542
1.225202	4.8688
1.225041	4.9015
1.224881	4.9173
1.225041	4.9321
1.224560	4.9473
1.224720	4.9622
1.224881	4.9975
1.225041	5.0172
1.225041	5.0524
1.224560	5.0707
1.224560	5.1015
1.224881	5.1170
1.224399	5.1506
1.224239	5.1670
1.225202	5.2026
1.224881	5.2187
1.224720	5.2330
1.224560	5.2455
1.225041	5.2633
1.224560	5.3031
1.224720	5.3160
1.224560	5.3501
1.224399	5.3644
1.225041	5.4018
1.224399	5.4167
1.224881	5.4512
1.224078	5.4690
1.224720	5.4991
1.224560	5.5173
1.224560	5.5329
1.224560	5.5453
1.224720	5.5610
1.224881	5.6000
1.224720	5.6143
1.224720	5.6549
